1 16
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1: -2.358345e+00, e+1: -1.026422e+00, T: 7.4928e-01, no:       0, try:     60000000
emin+1: -2.407939e+00, e+1: -1.049438e+00, T: 6.3096e-01, no:       1, try:    120000000
emin+1: -2.407939e+00, e+1: -1.080070e+00, T: 4.7276e-01, no:       2, try:    180000000
emin+1: -2.427564e+00, e+1: -1.115570e+00, T: 3.9811e-01, no:       1, try:    240000000
emin+1: -2.427564e+00, e+1: -1.164915e+00, T: 2.9829e-01, no:       0, try:    300000000
emin+1: -2.438750e+00, e+1: -1.220424e+00, T: 2.5119e-01, no:       0, try:    360000000
emin+1: -2.438750e+00, e+1: -1.296985e+00, T: 1.8821e-01, no:       4, try:    420000000
emin+1: -2.498872e+00, e+1: -1.377387e+00, T: 1.5849e-01, no:       3, try:    480000000
emin+1: -2.563747e+00, e+1: -1.482895e+00, T: 1.1875e-01, no:       1, try:    540000000
emin+1: -2.638653e+00, e+1: -1.594038e+00, T: 1.0000e-01, no:       0, try:    600000000
emin+1: -2.725201e+00, e+1: -1.734671e+00, T: 7.4928e-02, no:       1, try:    660000000
emin+1: -2.725201e+00, e+1: -1.872261e+00, T: 6.3096e-02, no:       1, try:    720000000
emin+1: -2.757599e+00, e+1: -2.035351e+00, T: 4.7276e-02, no:       2, try:    780000000
emin+1: -2.823821e+00, e+1: -2.184794e+00, T: 3.9811e-02, no:       0, try:    840000000
emin+1: -2.906420e+00, e+1: -2.343782e+00, T: 2.9829e-02, no:       4, try:    900000000
emin+1: -2.911628e+00, e+1: -2.480868e+00, T: 2.5119e-02, no:       0, try:    960000000
emin+1: -2.928617e+00, e+1: -2.605555e+00, T: 1.8821e-02, no:       2, try:   1020000000
emin+1: -2.947557e+00, e+1: -2.697297e+00, T: 1.5849e-02, no:       4, try:   1080000000
emin+1: -2.959256e+00, e+1: -2.770056e+00, T: 1.1875e-02, no:       0, try:   1140000000
emin+1: -2.974757e+00, e+1: -2.820873e+00, T: 1.0000e-02, no:       0, try:   1200000000
emin+1: -2.974757e+00, e+1: -2.861165e+00, T: 7.4928e-03, no:       0, try:   1260000000
emin+1: -2.977429e+00, e+1: -2.890422e+00, T: 6.3096e-03, no:       3, try:   1320000000
emin+1: -2.984782e+00, e+1: -2.913999e+00, T: 4.7276e-03, no:       5, try:   1380000000
emin+1: -2.988296e+00, e+1: -2.931746e+00, T: 3.9811e-03, no:      12, try:   1440000000
emin+1: -2.991263e+00, e+1: -2.946346e+00, T: 2.9829e-03, no:       1, try:   1500000000
emin+1: -2.991616e+00, e+1: -2.957116e+00, T: 2.5119e-03, no:       0, try:   1560000000
emin+1: -2.993497e+00, e+1: -2.966217e+00, T: 1.8821e-03, no:       1, try:   1620000000
emin+1: -2.994362e+00, e+1: -2.972984e+00, T: 1.5849e-03, no:       6, try:   1680000000
emin+1: -2.996024e+00, e+1: -2.978653e+00, T: 1.1875e-03, no:       2, try:   1740000000
emin+1: -2.996760e+00, e+1: -2.982964e+00, T: 1.0000e-03, no:       1, try:   1800000000
emin+1: -2.997267e+00, e+1: -2.986552e+00, T: 7.4928e-04, no:       4, try:   1860000000
emin+1: -2.997836e+00, e+1: -2.989223e+00, T: 6.3096e-04, no:       2, try:   1920000000
emin+1: -2.998321e+00, e+1: -2.991468e+00, T: 4.7276e-04, no:       3, try:   1980000000
emin+1: -2.998648e+00, e+1: -2.993201e+00, T: 3.9811e-04, no:       0, try:   2040000000
emin+1: -2.998979e+00, e+1: -2.994598e+00, T: 2.9829e-04, no:       5, try:   2100000000
emin+1: -2.999127e+00, e+1: -2.995686e+00, T: 2.5119e-04, no:      39, try:   2160000000
emin+1: -2.999462e+00, e+1: -2.996588e+00, T: 1.8821e-04, no:      26, try:   2220000000
emin+1: -2.999462e+00, e+1: -2.997278e+00, T: 1.5849e-04, no:       2, try:   2280000000
emin+1: -2.999548e+00, e+1: -2.997839e+00, T: 1.1875e-04, no:      12, try:   2340000000
emin+1: -2.999700e+00, e+1: -2.998282e+00, T: 1.0000e-04, no:       3, try:   2400000000
emin+1: -2.999722e+00, e+1: -2.998637e+00, T: 7.4928e-05, no:      43, try:   2460000000
emin+1: -2.999832e+00, e+1: -2.998914e+00, T: 6.3096e-05, no:       0, try:   2520000000
emin+1: -2.999840e+00, e+1: -2.999140e+00, T: 4.7276e-05, no:      10, try:   2580000000
emin+1: -2.999859e+00, e+1: -2.999314e+00, T: 3.9811e-05, no:      19, try:   2640000000
emin+1: -2.999873e+00, e+1: -2.999457e+00, T: 2.9829e-05, no:       7, try:   2700000000
emin+1: -2.999921e+00, e+1: -2.999568e+00, T: 2.5119e-05, no:      45, try:   2760000000
emin+1: -2.999924e+00, e+1: -2.999656e+00, T: 1.8821e-05, no:      20, try:   2820000000
emin+1: -2.999937e+00, e+1: -2.999726e+00, T: 1.5849e-05, no:       7, try:   2880000000
emin+1: -2.999951e+00, e+1: -2.999783e+00, T: 1.1875e-05, no:      55, try:   2940000000
emin+1: -2.999955e+00, e+1: -2.999827e+00, T: 1.0000e-05, no:      89, try:   3000000000
emin+1: -2.999970e+00, e+1: -2.999864e+00, T: 7.4928e-06, no:      45, try:   3060000000
emin+1: -2.999979e+00, e+1: -2.999891e+00, T: 6.3096e-06, no:       0, try:   3120000000
