3 19
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1: -5.991178e-01, e+1: -2.263467e-02, T: 7.4928e-01, no:       0, try:   1539000000
emin+1: -6.370847e-01, e+1: -2.616183e-02, T: 6.3096e-01, no:       1, try:   3078000000
emin+1: -6.370847e-01, e+1: -3.076124e-02, T: 4.7276e-01, no:       0, try:   4617000000
emin+1: -6.370847e-01, e+1: -3.610458e-02, T: 3.9811e-01, no:       0, try:   6156000000
emin+1: -6.370847e-01, e+1: -4.378697e-02, T: 2.9829e-01, no:       3, try:   7695000000
emin+1: -6.370847e-01, e+1: -5.233512e-02, T: 2.5119e-01, no:       2, try:   9234000000
emin+1: -6.370847e-01, e+1: -6.413773e-02, T: 1.8821e-01, no:       0, try:  10773000000
emin+1: -6.370847e-01, e+1: -7.779284e-02, T: 1.5849e-01, no:       0, try:  12312000000
emin+1: -6.370847e-01, e+1: -9.654148e-02, T: 1.1875e-01, no:       0, try:  13851000000
emin+1: -6.550661e-01, e+1: -1.177341e-01, T: 1.0000e-01, no:       0, try:  15390000000
emin+1: -6.736026e-01, e+1: -1.460847e-01, T: 7.4928e-02, no:       2, try:  16929000000
emin+1: -6.765284e-01, e+1: -1.769687e-01, T: 6.3096e-02, no:       0, try:  18468000000
emin+1: -7.244224e-01, e+1: -2.192043e-01, T: 4.7276e-02, no:       0, try:  20007000000
emin+1: -7.749169e-01, e+1: -2.642372e-01, T: 3.9811e-02, no:       1, try:  21546000000
emin+1: -8.294425e-01, e+1: -3.223207e-01, T: 2.9829e-02, no:       3, try:  23085000000
emin+1: -8.649591e-01, e+1: -3.849010e-01, T: 2.5119e-02, no:       2, try:  24624000000
emin+1: -9.042220e-01, e+1: -4.649730e-01, T: 1.8821e-02, no:       0, try:  26163000000
emin+1: -9.639126e-01, e+1: -5.494072e-01, T: 1.5849e-02, no:       0, try:  27702000000
emin+1: -1.077977e+00, e+1: -6.558311e-01, T: 1.1875e-02, no:       3, try:  29241000000
emin+1: -1.171735e+00, e+1: -7.664884e-01, T: 1.0000e-02, no:       1, try:  30780000000
emin+1: -1.233733e+00, e+1: -8.978637e-01, T: 7.4928e-03, no:       1, try:  32319000000
emin+1: -1.319880e+00, e+1: -1.021010e+00, T: 6.3096e-03, no:      10, try:  33858000000
emin+1: -1.367475e+00, e+1: -1.143596e+00, T: 4.7276e-03, no:       1, try:  35397000000
emin+1: -1.380930e+00, e+1: -1.230988e+00, T: 3.9811e-03, no:       0, try:  36936000000
emin+1: -1.407260e+00, e+1: -1.290932e+00, T: 2.9829e-03, no:       2, try:  38475000000
emin+1: -1.414886e+00, e+1: -1.330834e+00, T: 2.5119e-03, no:       3, try:  40014000000
emin+1: -1.427046e+00, e+1: -1.360994e+00, T: 1.8821e-03, no:       0, try:  41553000000
emin+1: -1.429631e+00, e+1: -1.382184e+00, T: 1.5849e-03, no:       1, try:  43092000000
emin+1: -1.435875e+00, e+1: -1.398607e+00, T: 1.1875e-03, no:       2, try:  44631000000
emin+1: -1.438368e+00, e+1: -1.410412e+00, T: 1.0000e-03, no:       0, try:  46170000000
emin+1: -1.442828e+00, e+1: -1.419881e+00, T: 7.4928e-04, no:       2, try:  47709000000
emin+1: -1.443514e+00, e+1: -1.426813e+00, T: 6.3096e-04, no:      10, try:  49248000000
emin+1: -1.446215e+00, e+1: -1.432473e+00, T: 4.7276e-04, no:       5, try:  50787000000
emin+1: -1.447343e+00, e+1: -1.436706e+00, T: 3.9811e-04, no:       0, try:  52326000000
emin+1: -1.448818e+00, e+1: -1.440154e+00, T: 2.9829e-04, no:       7, try:  53865000000
emin+1: -1.449914e+00, e+1: -1.442692e+00, T: 2.5119e-04, no:       1, try:  55404000000
emin+1: -1.450814e+00, e+1: -1.444732e+00, T: 1.8821e-04, no:       3, try:  56943000000
emin+1: -1.452207e+00, e+1: -1.446332e+00, T: 1.5849e-04, no:      15, try:  58482000000
emin+1: -1.453225e+00, e+1: -1.448270e+00, T: 1.1875e-04, no:       1, try:  60021000000
emin+1: -1.453755e+00, e+1: -1.450094e+00, T: 1.0000e-04, no:       1, try:  61560000000
emin+1: -1.454493e+00, e+1: -1.451568e+00, T: 7.4928e-05, no:       1, try:  63099000000
emin+1: -1.454742e+00, e+1: -1.452633e+00, T: 6.3096e-05, no:      24, try:  64638000000
emin+1: -1.455145e+00, e+1: -1.453428e+00, T: 4.7276e-05, no:       4, try:  66177000000
emin+1: -1.455407e+00, e+1: -1.454016e+00, T: 3.9811e-05, no:       8, try:  67716000000
emin+1: -1.455569e+00, e+1: -1.454502e+00, T: 2.9829e-05, no:      10, try:  69255000000
emin+1: -1.455755e+00, e+1: -1.454864e+00, T: 2.5119e-05, no:       5, try:  70794000000
emin+1: -1.455810e+00, e+1: -1.455167e+00, T: 1.8821e-05, no:       0, try:  72333000000
emin+1: -1.455932e+00, e+1: -1.455395e+00, T: 1.5849e-05, no:      10, try:  73872000000
emin+1: -1.455990e+00, e+1: -1.455584e+00, T: 1.1875e-05, no:       1, try:  75411000000
emin+1: -1.456038e+00, e+1: -1.455727e+00, T: 1.0000e-05, no:       8, try:  76950000000
emin+1: -1.456117e+00, e+1: -1.455846e+00, T: 7.4928e-06, no:       9, try:  78489000000
emin+1: -1.456133e+00, e+1: -1.455936e+00, T: 6.3096e-06, no:       1, try:  80028000000
emin+1: -1.456180e+00, e+1: -1.456011e+00, T: 4.7276e-06, no:      14, try:  81567000000
emin+1: -1.456186e+00, e+1: -1.456067e+00, T: 3.9811e-06, no:      28, try:  83106000000
emin+1: -1.456222e+00, e+1: -1.456115e+00, T: 2.9829e-06, no:      21, try:  84645000000
emin+1: -1.456229e+00, e+1: -1.456150e+00, T: 2.5119e-06, no:      78, try:  86184000000
emin+1: -1.456243e+00, e+1: -1.456180e+00, T: 1.8821e-06, no:      43, try:  87723000000
emin+1: -1.456254e+00, e+1: -1.456203e+00, T: 1.5849e-06, no:      14, try:  89262000000
emin+1: -1.456262e+00, e+1: -1.456221e+00, T: 1.1875e-06, no:      17, try:  90801000000
emin+1: -1.456267e+00, e+1: -1.456236e+00, T: 1.0000e-06, no:      76, try:  92340000000
emin+1: -1.456272e+00, e+1: -1.456247e+00, T: 7.4928e-07, no:      45, try:  93879000000
emin+1: -1.456275e+00, e+1: -1.456256e+00, T: 6.3096e-07, no:       9, try:  95418000000
emin+1: -1.456279e+00, e+1: -1.456264e+00, T: 4.7276e-07, no:       0, try:  96957000000
emin+1: -1.456282e+00, e+1: -1.456270e+00, T: 3.9811e-07, no:      57, try:  98496000000
emin+1: -1.456284e+00, e+1: -1.456274e+00, T: 2.9829e-07, no:      36, try: 100035000000
emin+1: -1.456285e+00, e+1: -1.456278e+00, T: 2.5119e-07, no:     156, try: 101574000000
emin+1: -1.456288e+00, e+1: -1.456281e+00, T: 1.8821e-07, no:      23, try: 103113000000
emin+1: -1.456288e+00, e+1: -1.456283e+00, T: 1.5849e-07, no:      86, try: 104652000000
emin+1: -1.456289e+00, e+1: -1.456285e+00, T: 1.1875e-07, no:      22, try: 106191000000
emin+1: -1.456290e+00, e+1: -1.456286e+00, T: 1.0000e-07, no:      38, try: 107730000000
emin+1: -1.456290e+00, e+1: -1.456288e+00, T: 7.4928e-08, no:     981, try: 109269000000
emin+1: -1.456290e+00, e+1: -1.456288e+00, T: 6.3096e-08, no:      36, try: 110808000000
emin+1: -1.456291e+00, e+1: -1.456289e+00, T: 4.7276e-08, no:     566, try: 112347000000
emin+1: -1.456291e+00, e+1: -1.456290e+00, T: 3.9811e-08, no:     239, try: 113886000000
emin+1: -1.456291e+00, e+1: -1.456290e+00, T: 2.9829e-08, no:       3, try: 115425000000
emin+1: -1.456291e+00, e+1: -1.456291e+00, T: 2.5119e-08, no:     492, try: 116964000000
emin+1: -1.456291e+00, e+1: -1.456291e+00, T: 1.8821e-08, no:      69, try: 118503000000
emin+1: -1.456292e+00, e+1: -1.456291e+00, T: 1.5849e-08, no:     206, try: 120042000000
emin+1: -1.456292e+00, e+1: -1.456291e+00, T: 1.1875e-08, no:     187, try: 121581000000
emin+1: -1.456292e+00, e+1: -1.456291e+00, T: 1.0000e-08, no:     423, try: 123120000000
emin+1: -1.456292e+00, e+1: -1.456292e+00, T: 7.4928e-09, no:     491, try: 124659000000
emin+1: -1.456292e+00, e+1: -1.456292e+00, T: 6.3096e-09, no:     626, try: 126198000000
emin+1: -1.456292e+00, e+1: -1.456292e+00, T: 4.7276e-09, no:     529, try: 127737000000
emin+1: -1.456292e+00, e+1: -1.456292e+00, T: 3.9811e-09, no:     191, try: 129276000000
emin+1: -1.456292e+00, e+1: -1.456292e+00, T: 2.9829e-09, no:    1078, try: 130815000000
emin+1: -1.456292e+00, e+1: -1.456292e+00, T: 2.5119e-09, no:     235, try: 132354000000
emin+1: -1.456292e+00, e+1: -1.456292e+00, T: 1.8821e-09, no:     243, try: 133893000000
