7 31
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1:  0.000000e+00, e+1:  3.515577e-01, T: 7.4928e-01, no:       0, try:     32550000
emin+1:  0.000000e+00, e+1:  3.506304e-01, T: 6.3096e-01, no:       0, try:     65100000
emin+1:  0.000000e+00, e+1:  3.501495e-01, T: 4.7276e-01, no:       2, try:     97650000
emin+1:  0.000000e+00, e+1:  3.490093e-01, T: 3.9811e-01, no:       0, try:    130200000
emin+1:  0.000000e+00, e+1:  3.474879e-01, T: 2.9829e-01, no:       0, try:    162750000
emin+1:  0.000000e+00, e+1:  3.458806e-01, T: 2.5119e-01, no:       0, try:    195300000
emin+1:  0.000000e+00, e+1:  3.436539e-01, T: 1.8821e-01, no:       1, try:    227850000
emin+1:  0.000000e+00, e+1:  3.414730e-01, T: 1.5849e-01, no:       2, try:    260400000
emin+1:  0.000000e+00, e+1:  3.373153e-01, T: 1.1875e-01, no:       3, try:    292950000
emin+1:  0.000000e+00, e+1:  3.327707e-01, T: 1.0000e-01, no:       0, try:    325500000
emin+1:  0.000000e+00, e+1:  3.285518e-01, T: 7.4928e-02, no:       4, try:    358050000
emin+1:  0.000000e+00, e+1:  3.215899e-01, T: 6.3096e-02, no:       0, try:    390600000
emin+1:  0.000000e+00, e+1:  3.150971e-01, T: 4.7276e-02, no:       2, try:    423150000
emin+1:  0.000000e+00, e+1:  3.046146e-01, T: 3.9811e-02, no:       0, try:    455700000
emin+1:  0.000000e+00, e+1:  2.940957e-01, T: 2.9829e-02, no:       0, try:    488250000
emin+1:  0.000000e+00, e+1:  2.799949e-01, T: 2.5119e-02, no:       1, try:    520800000
emin+1:  0.000000e+00, e+1:  2.654272e-01, T: 1.8821e-02, no:       0, try:    553350000
emin+1:  0.000000e+00, e+1:  2.491277e-01, T: 1.5849e-02, no:       3, try:    585900000
emin+1:  0.000000e+00, e+1:  2.258510e-01, T: 1.1875e-02, no:       0, try:    618450000
