1 25
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1: -2.774457e+00, e+1: -1.354472e+00, T: 7.4928e-01, no:       3, try:    150000000
emin+1: -2.920578e+00, e+1: -1.383798e+00, T: 6.3096e-01, no:       0, try:    300000000
emin+1: -2.962129e+00, e+1: -1.422272e+00, T: 4.7276e-01, no:       2, try:    450000000
emin+1: -2.962129e+00, e+1: -1.465978e+00, T: 3.9811e-01, no:       0, try:    600000000
emin+1: -2.964060e+00, e+1: -1.526296e+00, T: 2.9829e-01, no:       1, try:    750000000
emin+1: -2.976164e+00, e+1: -1.594819e+00, T: 2.5119e-01, no:       0, try:    900000000
emin+1: -2.992016e+00, e+1: -1.684522e+00, T: 1.8821e-01, no:       1, try:   1050000000
emin+1: -3.088446e+00, e+1: -1.780376e+00, T: 1.5849e-01, no:       0, try:   1200000000
emin+1: -3.142645e+00, e+1: -1.906276e+00, T: 1.1875e-01, no:       1, try:   1350000000
emin+1: -3.157035e+00, e+1: -2.043539e+00, T: 1.0000e-01, no:       1, try:   1500000000
emin+1: -3.308835e+00, e+1: -2.205445e+00, T: 7.4928e-02, no:       0, try:   1650000000
emin+1: -3.381841e+00, e+1: -2.373859e+00, T: 6.3096e-02, no:       0, try:   1800000000
emin+1: -3.454646e+00, e+1: -2.570169e+00, T: 4.7276e-02, no:       0, try:   1950000000
emin+1: -3.574797e+00, e+1: -2.764492e+00, T: 3.9811e-02, no:       2, try:   2100000000
emin+1: -3.706825e+00, e+1: -2.974177e+00, T: 2.9829e-02, no:       1, try:   2250000000
emin+1: -3.761837e+00, e+1: -3.164570e+00, T: 2.5119e-02, no:       2, try:   2400000000
emin+1: -3.844923e+00, e+1: -3.349374e+00, T: 1.8821e-02, no:       1, try:   2550000000
emin+1: -3.871434e+00, e+1: -3.496224e+00, T: 1.5849e-02, no:       2, try:   2700000000
emin+1: -3.907235e+00, e+1: -3.620656e+00, T: 1.1875e-02, no:       4, try:   2850000000
emin+1: -3.925349e+00, e+1: -3.708423e+00, T: 1.0000e-02, no:       7, try:   3000000000
emin+1: -3.941484e+00, e+1: -3.775340e+00, T: 7.4928e-03, no:       2, try:   3150000000
emin+1: -3.952304e+00, e+1: -3.823531e+00, T: 6.3096e-03, no:       2, try:   3300000000
emin+1: -3.965881e+00, e+1: -3.862705e+00, T: 4.7276e-03, no:       2, try:   3450000000
emin+1: -3.968660e+00, e+1: -3.891202e+00, T: 3.9811e-03, no:       7, try:   3600000000
emin+1: -3.978261e+00, e+1: -3.914653e+00, T: 2.9829e-03, no:       2, try:   3750000000
emin+1: -3.981194e+00, e+1: -3.932048e+00, T: 2.5119e-03, no:       0, try:   3900000000
emin+1: -3.986543e+00, e+1: -3.946504e+00, T: 1.8821e-03, no:       0, try:   4050000000
emin+1: -3.987876e+00, e+1: -3.957354e+00, T: 1.5849e-03, no:       1, try:   4200000000
emin+1: -3.990046e+00, e+1: -3.966351e+00, T: 1.1875e-03, no:       0, try:   4350000000
emin+1: -3.992670e+00, e+1: -3.973114e+00, T: 1.0000e-03, no:       1, try:   4500000000
emin+1: -3.993842e+00, e+1: -3.978789e+00, T: 7.4928e-04, no:      10, try:   4650000000
emin+1: -3.994904e+00, e+1: -3.983071e+00, T: 6.3096e-04, no:       2, try:   4800000000
emin+1: -3.996724e+00, e+1: -3.986600e+00, T: 4.7276e-04, no:      13, try:   4950000000
emin+1: -3.996949e+00, e+1: -3.989297e+00, T: 3.9811e-04, no:       4, try:   5100000000
emin+1: -3.997429e+00, e+1: -3.991532e+00, T: 2.9829e-04, no:       4, try:   5250000000
emin+1: -3.998204e+00, e+1: -3.993228e+00, T: 2.5119e-04, no:      40, try:   5400000000
emin+1: -3.998737e+00, e+1: -3.994654e+00, T: 1.8821e-04, no:       6, try:   5550000000
emin+1: -3.998821e+00, e+1: -3.995728e+00, T: 1.5849e-04, no:       7, try:   5700000000
emin+1: -3.999052e+00, e+1: -3.996621e+00, T: 1.1875e-04, no:      13, try:   5850000000
emin+1: -3.999127e+00, e+1: -3.997302e+00, T: 1.0000e-04, no:       0, try:   6000000000
emin+1: -3.999347e+00, e+1: -3.997864e+00, T: 7.4928e-05, no:      19, try:   6150000000
emin+1: -3.999522e+00, e+1: -3.998290e+00, T: 6.3096e-05, no:      21, try:   6300000000
emin+1: -3.999616e+00, e+1: -3.998651e+00, T: 4.7276e-05, no:      27, try:   6450000000
emin+1: -3.999663e+00, e+1: -3.998925e+00, T: 3.9811e-05, no:       1, try:   6600000000
emin+1: -3.999758e+00, e+1: -3.999148e+00, T: 2.9829e-05, no:       1, try:   6750000000
emin+1: -3.999803e+00, e+1: -3.999321e+00, T: 2.5119e-05, no:       7, try:   6900000000
emin+1: -3.999833e+00, e+1: -3.999462e+00, T: 1.8821e-05, no:       3, try:   7050000000
emin+1: -3.999865e+00, e+1: -3.999571e+00, T: 1.5849e-05, no:      17, try:   7200000000
emin+1: -3.999890e+00, e+1: -3.999661e+00, T: 1.1875e-05, no:      17, try:   7350000000
emin+1: -3.999902e+00, e+1: -3.999729e+00, T: 1.0000e-05, no:      18, try:   7500000000
emin+1: -3.999927e+00, e+1: -3.999785e+00, T: 7.4928e-06, no:      75, try:   7650000000
emin+1: -3.999947e+00, e+1: -3.999829e+00, T: 6.3096e-06, no:      95, try:   7800000000
emin+1: -3.999961e+00, e+1: -3.999865e+00, T: 4.7276e-06, no:      12, try:   7950000000
emin+1: -3.999976e+00, e+1: -3.999892e+00, T: 3.9811e-06, no:      12, try:   8100000000
emin+1: -3.999976e+00, e+1: -3.999915e+00, T: 2.9829e-06, no:      26, try:   8250000000
emin+1: -3.999981e+00, e+1: -3.999932e+00, T: 2.5119e-06, no:     101, try:   8400000000
emin+1: -3.999982e+00, e+1: -3.999946e+00, T: 1.8821e-06, no:      93, try:   8550000000
emin+1: -3.999985e+00, e+1: -3.999957e+00, T: 1.5849e-06, no:      91, try:   8700000000
emin+1: -3.999989e+00, e+1: -3.999966e+00, T: 1.1875e-06, no:      70, try:   8850000000
emin+1: -3.999991e+00, e+1: -3.999973e+00, T: 1.0000e-06, no:     231, try:   9000000000
emin+1: -3.999992e+00, e+1: -3.999979e+00, T: 7.4928e-07, no:      96, try:   9150000000
emin+1: -3.999994e+00, e+1: -3.999983e+00, T: 6.3096e-07, no:       6, try:   9300000000
emin+1: -3.999996e+00, e+1: -3.999987e+00, T: 4.7276e-07, no:     269, try:   9450000000
emin+1: -3.999996e+00, e+1: -3.999989e+00, T: 3.9811e-07, no:     235, try:   9600000000
emin+1: -3.999997e+00, e+1: -3.999992e+00, T: 2.9829e-07, no:      12, try:   9750000000
emin+1: -3.999998e+00, e+1: -3.999993e+00, T: 2.5119e-07, no:      13, try:   9900000000
emin+1: -3.999998e+00, e+1: -3.999995e+00, T: 1.8821e-07, no:      75, try:  10050000000
emin+1: -3.999998e+00, e+1: -3.999996e+00, T: 1.5849e-07, no:     110, try:  10200000000
emin+1: -3.999999e+00, e+1: -3.999997e+00, T: 1.1875e-07, no:     165, try:  10350000000
emin+1: -3.999999e+00, e+1: -3.999997e+00, T: 1.0000e-07, no:      44, try:  10500000000
emin+1: -3.999999e+00, e+1: -3.999998e+00, T: 7.4928e-08, no:     169, try:  10650000000
emin+1: -3.999999e+00, e+1: -3.999998e+00, T: 6.3096e-08, no:     842, try:  10800000000
emin+1: -3.999999e+00, e+1: -3.999999e+00, T: 4.7276e-08, no:     259, try:  10950000000
emin+1: -4.000000e+00, e+1: -3.999999e+00, T: 3.9811e-08, no:     231, try:  11100000000
emin+1: -4.000000e+00, e+1: -3.999999e+00, T: 2.9829e-08, no:    1921, try:  11250000000
emin+1: -4.000000e+00, e+1: -3.999999e+00, T: 2.5119e-08, no:     268, try:  11400000000
emin+1: -4.000000e+00, e+1: -3.999999e+00, T: 1.8821e-08, no:     634, try:  11550000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 1.5849e-08, no:     407, try:  11700000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 1.1875e-08, no:     514, try:  11850000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 1.0000e-08, no:       5, try:  12000000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 7.4928e-09, no:     636, try:  12150000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 6.3096e-09, no:      64, try:  12300000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 4.7276e-09, no:     290, try:  12450000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 3.9811e-09, no:    4800, try:  12600000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 2.9829e-09, no:     966, try:  12750000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 2.5119e-09, no:     625, try:  12900000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 1.8821e-09, no:    2410, try:  13050000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 1.5849e-09, no:    1271, try:  13200000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 1.1875e-09, no:    1231, try:  13350000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 1.0000e-09, no:    3386, try:  13500000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 7.4928e-10, no:    1291, try:  13650000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 6.3096e-10, no:    3069, try:  13800000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 4.7276e-10, no:    1667, try:  13950000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 3.9811e-10, no:     601, try:  14100000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 2.9829e-10, no:   10564, try:  14250000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 2.5119e-10, no:    1070, try:  14400000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 1.8821e-10, no:    8162, try:  14550000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 1.5849e-10, no:    8759, try:  14700000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 1.1875e-10, no:    7618, try:  14850000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 1.0000e-10, no:    4647, try:  15000000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 7.4928e-11, no:   10336, try:  15150000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 6.3096e-11, no:     179, try:  15300000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 4.7276e-11, no:   25914, try:  15450000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 3.9811e-11, no:     884, try:  15600000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 2.9829e-11, no:   64718, try:  15750000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 2.5119e-11, no:   29061, try:  15900000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 1.8821e-11, no:   21986, try:  16050000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 1.5849e-11, no:    2186, try:  16200000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 1.1875e-11, no:   86366, try:  16350000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 1.0000e-11, no:   47804, try:  16500000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 7.4928e-12, no:   26414, try:  16650000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 6.3096e-12, no:   62225, try:  16800000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 4.7276e-12, no:  114113, try:  16950000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 3.9811e-12, no:     745, try:  17100000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 2.9829e-12, no:   28633, try:  17250000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 2.5119e-12, no:   45550, try:  17400000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 1.8821e-12, no:  170851, try:  17550000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 1.5849e-12, no:  142889, try:  17700000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 1.1875e-12, no:  181139, try:  17850000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 1.0000e-12, no:  164218, try:  18000000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 7.4928e-13, no:  149239, try:  18150000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 6.3096e-13, no:   96643, try:  18300000000
emin+1: -4.000000e+00, e+1: -4.000000e+00, T: 4.7276e-13, no:  104745, try:  18450000000
