3 5
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1: -1.544599e-02, e+1:  3.088531e-01, T: 7.4928e-01, no:       7, try:      3100000
emin+1: -1.756453e-02, e+1:  3.070381e-01, T: 6.3096e-01, no:       0, try:      6200000
emin+1: -1.911348e-02, e+1:  3.056942e-01, T: 4.7276e-01, no:       3, try:      9300000
emin+1: -2.799937e-02, e+1:  3.045768e-01, T: 3.9811e-01, no:       0, try:     12400000
emin+1: -2.799937e-02, e+1:  3.010575e-01, T: 2.9829e-01, no:       1, try:     15500000
emin+1: -2.799937e-02, e+1:  2.970048e-01, T: 2.5119e-01, no:       1, try:     18600000
emin+1: -3.133040e-02, e+1:  2.922296e-01, T: 1.8821e-01, no:       0, try:     21700000
emin+1: -3.133040e-02, e+1:  2.880516e-01, T: 1.5849e-01, no:       0, try:     24800000
emin+1: -3.133040e-02, e+1:  2.813107e-01, T: 1.1875e-01, no:       0, try:     27900000
emin+1: -3.133040e-02, e+1:  2.696554e-01, T: 1.0000e-01, no:       1, try:     31000000
emin+1: -3.133040e-02, e+1:  2.522586e-01, T: 7.4928e-02, no:       0, try:     34100000
emin+1: -4.167190e-02, e+1:  2.355830e-01, T: 6.3096e-02, no:       0, try:     37200000
emin+1: -4.774463e-02, e+1:  2.086822e-01, T: 4.7276e-02, no:       0, try:     40300000
emin+1: -5.377945e-02, e+1:  1.762502e-01, T: 3.9811e-02, no:       0, try:     43400000
emin+1: -5.377945e-02, e+1:  1.381287e-01, T: 2.9829e-02, no:       0, try:     46500000
emin+1: -5.869996e-02, e+1:  1.015387e-01, T: 2.5119e-02, no:       0, try:     49600000
emin+1: -6.830797e-02, e+1:  6.794693e-02, T: 1.8821e-02, no:       6, try:     52700000
emin+1: -7.514156e-02, e+1:  4.429639e-02, T: 1.5849e-02, no:       0, try:     55800000
emin+1: -7.514156e-02, e+1:  2.513100e-02, T: 1.1875e-02, no:       0, try:     58900000
emin+1: -8.216563e-02, e+1:  1.002434e-02, T: 1.0000e-02, no:       1, try:     62000000
emin+1: -8.606904e-02, e+1: -4.299820e-03, T: 7.4928e-03, no:       0, try:     65100000
emin+1: -8.981414e-02, e+1: -1.721760e-02, T: 6.3096e-03, no:       1, try:     68200000
emin+1: -8.981414e-02, e+1: -3.147837e-02, T: 4.7276e-03, no:       0, try:     71300000
emin+1: -9.091440e-02, e+1: -4.718319e-02, T: 3.9811e-03, no:       0, try:     74400000
