3 4
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1:  0.000000e+00, e+1:  3.399764e-01, T: 7.4928e-01, no:       2, try:    540000000
emin+1: -3.929087e-04, e+1:  3.390075e-01, T: 6.3096e-01, no:       0, try:   1080000000
emin+1: -3.929087e-04, e+1:  3.376509e-01, T: 4.7276e-01, no:       1, try:   1620000000
emin+1: -3.929087e-04, e+1:  3.359911e-01, T: 3.9811e-01, no:       4, try:   2160000000
emin+1: -1.903345e-03, e+1:  3.336919e-01, T: 2.9829e-01, no:       1, try:   2700000000
emin+1: -3.322079e-03, e+1:  3.308942e-01, T: 2.5119e-01, no:       1, try:   3240000000
emin+1: -3.322079e-03, e+1:  3.268005e-01, T: 1.8821e-01, no:       1, try:   3780000000
emin+1: -3.322079e-03, e+1:  3.217732e-01, T: 1.5849e-01, no:       2, try:   4320000000
emin+1: -4.296449e-03, e+1:  3.141115e-01, T: 1.1875e-01, no:       0, try:   4860000000
emin+1: -4.296449e-03, e+1:  3.045505e-01, T: 1.0000e-01, no:       3, try:   5400000000
emin+1: -4.296449e-03, e+1:  2.893080e-01, T: 7.4928e-02, no:       3, try:   5940000000
emin+1: -4.628174e-03, e+1:  2.695949e-01, T: 6.3096e-02, no:       3, try:   6480000000
emin+1: -4.628174e-03, e+1:  2.383382e-01, T: 4.7276e-02, no:       1, try:   7020000000
emin+1: -5.470411e-03, e+1:  2.010828e-01, T: 3.9811e-02, no:       0, try:   7560000000
emin+1: -5.470411e-03, e+1:  1.552936e-01, T: 2.9829e-02, no:       0, try:   8100000000
emin+1: -5.789111e-03, e+1:  1.161537e-01, T: 2.5119e-02, no:       1, try:   8640000000
emin+1: -6.810540e-03, e+1:  8.523489e-02, T: 1.8821e-02, no:       1, try:   9180000000
emin+1: -6.810540e-03, e+1:  6.426086e-02, T: 1.5849e-02, no:       2, try:   9720000000
emin+1: -6.810540e-03, e+1:  4.854803e-02, T: 1.1875e-02, no:       1, try:  10260000000
emin+1: -6.810540e-03, e+1:  3.729096e-02, T: 1.0000e-02, no:       0, try:  10800000000
emin+1: -6.810540e-03, e+1:  2.826509e-02, T: 7.4928e-03, no:       3, try:  11340000000
emin+1: -6.810540e-03, e+1:  2.173262e-02, T: 6.3096e-03, no:       0, try:  11880000000
emin+1: -6.810540e-03, e+1:  1.636787e-02, T: 4.7276e-03, no:       0, try:  12420000000
emin+1: -6.815634e-03, e+1:  1.243989e-02, T: 3.9811e-03, no:       1, try:  12960000000
emin+1: -6.815634e-03, e+1:  9.236313e-03, T: 2.9829e-03, no:       7, try:  13500000000
emin+1: -7.057294e-03, e+1:  6.858672e-03, T: 2.5119e-03, no:       5, try:  14040000000
emin+1: -7.075286e-03, e+1:  4.838085e-03, T: 1.8821e-03, no:       0, try:  14580000000
emin+1: -7.210855e-03, e+1:  3.255142e-03, T: 1.5849e-03, no:       0, try:  15120000000
emin+1: -7.210855e-03, e+1:  1.763805e-03, T: 1.1875e-03, no:       1, try:  15660000000
emin+1: -7.250442e-03, e+1:  4.090550e-04, T: 1.0000e-03, no:       1, try:  16200000000
emin+1: -7.259171e-03, e+1: -1.124529e-03, T: 7.4928e-04, no:       7, try:  16740000000
emin+1: -7.333544e-03, e+1: -2.496438e-03, T: 6.3096e-04, no:       3, try:  17280000000
emin+1: -7.352670e-03, e+1: -3.706696e-03, T: 4.7276e-04, no:       0, try:  17820000000
emin+1: -7.367361e-03, e+1: -4.560976e-03, T: 3.9811e-04, no:       6, try:  18360000000
emin+1: -7.385080e-03, e+1: -5.187625e-03, T: 2.9829e-04, no:       0, try:  18900000000
emin+1: -7.400535e-03, e+1: -5.654566e-03, T: 2.5119e-04, no:       2, try:  19440000000
emin+1: -7.400535e-03, e+1: -6.034927e-03, T: 1.8821e-04, no:      10, try:  19980000000
emin+1: -7.403022e-03, e+1: -6.318677e-03, T: 1.5849e-04, no:       0, try:  20520000000
emin+1: -7.411260e-03, e+1: -6.555031e-03, T: 1.1875e-04, no:       7, try:  21060000000
emin+1: -7.426270e-03, e+1: -6.733181e-03, T: 1.0000e-04, no:       4, try:  21600000000
emin+1: -7.426270e-03, e+1: -6.880307e-03, T: 7.4928e-05, no:       0, try:  22140000000
emin+1: -7.426270e-03, e+1: -6.991198e-03, T: 6.3096e-05, no:       8, try:  22680000000
emin+1: -7.426270e-03, e+1: -7.084078e-03, T: 4.7276e-05, no:       4, try:  23220000000
emin+1: -7.427539e-03, e+1: -7.154541e-03, T: 3.9811e-05, no:       8, try:  23760000000
emin+1: -7.427539e-03, e+1: -7.212811e-03, T: 2.9829e-05, no:       0, try:  24300000000
emin+1: -7.429458e-03, e+1: -7.257728e-03, T: 2.5119e-05, no:       4, try:  24840000000
emin+1: -7.431644e-03, e+1: -7.294759e-03, T: 1.8821e-05, no:      25, try:  25380000000
emin+1: -7.431867e-03, e+1: -7.322689e-03, T: 1.5849e-05, no:       6, try:  25920000000
emin+1: -7.431867e-03, e+1: -7.345726e-03, T: 1.1875e-05, no:      19, try:  26460000000
emin+1: -7.431867e-03, e+1: -7.363849e-03, T: 1.0000e-05, no:       7, try:  27000000000
emin+1: -7.432883e-03, e+1: -7.378465e-03, T: 7.4928e-06, no:       0, try:  27540000000
emin+1: -7.432884e-03, e+1: -7.389570e-03, T: 6.3096e-06, no:      11, try:  28080000000
emin+1: -7.433473e-03, e+1: -7.398986e-03, T: 4.7276e-06, no:      51, try:  28620000000
emin+1: -7.433596e-03, e+1: -7.406128e-03, T: 3.9811e-06, no:      19, try:  29160000000
emin+1: -7.433929e-03, e+1: -7.411925e-03, T: 2.9829e-06, no:      51, try:  29700000000
emin+1: -7.434206e-03, e+1: -7.416595e-03, T: 2.5119e-06, no:      11, try:  30240000000
emin+1: -7.434266e-03, e+1: -7.420300e-03, T: 1.8821e-06, no:      23, try:  30780000000
emin+1: -7.434384e-03, e+1: -7.423182e-03, T: 1.5849e-06, no:      29, try:  31320000000
emin+1: -7.434411e-03, e+1: -7.425590e-03, T: 1.1875e-06, no:      61, try:  31860000000
emin+1: -7.434549e-03, e+1: -7.427395e-03, T: 1.0000e-06, no:       7, try:  32400000000
emin+1: -7.434549e-03, e+1: -7.428952e-03, T: 7.4928e-07, no:       8, try:  32940000000
emin+1: -7.434549e-03, e+1: -7.430025e-03, T: 6.3096e-07, no:      11, try:  33480000000
emin+1: -7.434628e-03, e+1: -7.431045e-03, T: 4.7276e-07, no:       3, try:  34020000000
emin+1: -7.434650e-03, e+1: -7.431774e-03, T: 3.9811e-07, no:      47, try:  34560000000
emin+1: -7.434657e-03, e+1: -7.432437e-03, T: 2.9829e-07, no:     152, try:  35100000000
emin+1: -7.434664e-03, e+1: -7.432887e-03, T: 2.5119e-07, no:      42, try:  35640000000
emin+1: -7.434709e-03, e+1: -7.433265e-03, T: 1.8821e-07, no:      26, try:  36180000000
emin+1: -7.434709e-03, e+1: -7.433574e-03, T: 1.5849e-07, no:      80, try:  36720000000
emin+1: -7.434709e-03, e+1: -7.433826e-03, T: 1.1875e-07, no:      16, try:  37260000000
emin+1: -7.434721e-03, e+1: -7.434004e-03, T: 1.0000e-07, no:      76, try:  37800000000
emin+1: -7.434739e-03, e+1: -7.434155e-03, T: 7.4928e-08, no:      87, try:  38340000000
emin+1: -7.434739e-03, e+1: -7.434280e-03, T: 6.3096e-08, no:      31, try:  38880000000
emin+1: -7.434744e-03, e+1: -7.434382e-03, T: 4.7276e-08, no:       9, try:  39420000000
emin+1: -7.434746e-03, e+1: -7.434465e-03, T: 3.9811e-08, no:     204, try:  39960000000
emin+1: -7.434746e-03, e+1: -7.434518e-03, T: 2.9829e-08, no:     470, try:  40500000000
emin+1: -7.434751e-03, e+1: -7.434570e-03, T: 2.5119e-08, no:     513, try:  41040000000
emin+1: -7.434752e-03, e+1: -7.434604e-03, T: 1.8821e-08, no:     893, try:  41580000000
emin+1: -7.434752e-03, e+1: -7.434638e-03, T: 1.5849e-08, no:     177, try:  42120000000
emin+1: -7.434752e-03, e+1: -7.434664e-03, T: 1.1875e-08, no:      37, try:  42660000000
emin+1: -7.434752e-03, e+1: -7.434679e-03, T: 1.0000e-08, no:     215, try:  43200000000
emin+1: -7.434753e-03, e+1: -7.434698e-03, T: 7.4928e-09, no:     835, try:  43740000000
emin+1: -7.434754e-03, e+1: -7.434711e-03, T: 6.3096e-09, no:     607, try:  44280000000
emin+1: -7.434755e-03, e+1: -7.434720e-03, T: 4.7276e-09, no:     149, try:  44820000000
emin+1: -7.434755e-03, e+1: -7.434726e-03, T: 3.9811e-09, no:     781, try:  45360000000
emin+1: -7.434756e-03, e+1: -7.434733e-03, T: 2.9829e-09, no:     156, try:  45900000000
emin+1: -7.434756e-03, e+1: -7.434739e-03, T: 2.5119e-09, no:    1530, try:  46440000000
emin+1: -7.434756e-03, e+1: -7.434741e-03, T: 1.8821e-09, no:     114, try:  46980000000
emin+1: -7.434756e-03, e+1: -7.434745e-03, T: 1.5849e-09, no:    3118, try:  47520000000
emin+1: -7.434756e-03, e+1: -7.434747e-03, T: 1.1875e-09, no:     760, try:  48060000000
emin+1: -7.434756e-03, e+1: -7.434749e-03, T: 1.0000e-09, no:    2307, try:  48600000000
emin+1: -7.434757e-03, e+1: -7.434751e-03, T: 7.4928e-10, no:    2290, try:  49140000000
emin+1: -7.434757e-03, e+1: -7.434752e-03, T: 6.3096e-10, no:     857, try:  49680000000
emin+1: -7.434757e-03, e+1: -7.434753e-03, T: 4.7276e-10, no:    5995, try:  50220000000
emin+1: -7.434757e-03, e+1: -7.434754e-03, T: 3.9811e-10, no:    1246, try:  50760000000
emin+1: -7.434757e-03, e+1: -7.434755e-03, T: 2.9829e-10, no:      42, try:  51300000000
emin+1: -7.434757e-03, e+1: -7.434755e-03, T: 2.5119e-10, no:     682, try:  51840000000
emin+1: -7.434757e-03, e+1: -7.434755e-03, T: 1.8821e-10, no:    1076, try:  52380000000
emin+1: -7.434757e-03, e+1: -7.434756e-03, T: 1.5849e-10, no:    6902, try:  52920000000
emin+1: -7.434757e-03, e+1: -7.434756e-03, T: 1.1875e-10, no:     147, try:  53460000000
emin+1: -7.434757e-03, e+1: -7.434756e-03, T: 1.0000e-10, no:    1294, try:  54000000000
emin+1: -7.434757e-03, e+1: -7.434756e-03, T: 7.4928e-11, no:    1304, try:  54540000000
emin+1: -7.434757e-03, e+1: -7.434756e-03, T: 6.3096e-11, no:    2406, try:  55080000000
emin+1: -7.434757e-03, e+1: -7.434757e-03, T: 4.7276e-11, no:     808, try:  55620000000
