4 6
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1:  0.000000e+00, e+1:  4.107927e-01, T: 7.4928e-01, no:       2, try:      6800000
emin+1:  0.000000e+00, e+1:  4.106688e-01, T: 6.3096e-01, no:       0, try:     13600000
emin+1:  0.000000e+00, e+1:  4.098493e-01, T: 4.7276e-01, no:       1, try:     20400000
emin+1:  0.000000e+00, e+1:  4.090101e-01, T: 3.9811e-01, no:       2, try:     27200000
emin+1:  0.000000e+00, e+1:  4.077587e-01, T: 2.9829e-01, no:       1, try:     34000000
emin+1:  0.000000e+00, e+1:  4.064822e-01, T: 2.5119e-01, no:       3, try:     40800000
emin+1:  0.000000e+00, e+1:  4.040736e-01, T: 1.8821e-01, no:       0, try:     47600000
emin+1:  0.000000e+00, e+1:  4.013885e-01, T: 1.5849e-01, no:       2, try:     54400000
emin+1:  0.000000e+00, e+1:  3.979207e-01, T: 1.1875e-01, no:       3, try:     61200000
emin+1:  0.000000e+00, e+1:  3.936120e-01, T: 1.0000e-01, no:       1, try:     68000000
emin+1:  0.000000e+00, e+1:  3.873510e-01, T: 7.4928e-02, no:       2, try:     74800000
emin+1:  0.000000e+00, e+1:  3.790289e-01, T: 6.3096e-02, no:       2, try:     81600000
emin+1:  0.000000e+00, e+1:  3.671994e-01, T: 4.7276e-02, no:       1, try:     88400000
emin+1:  0.000000e+00, e+1:  3.496187e-01, T: 3.9811e-02, no:       1, try:     95200000
emin+1:  0.000000e+00, e+1:  3.226712e-01, T: 2.9829e-02, no:       3, try:    102000000
emin+1:  0.000000e+00, e+1:  2.841637e-01, T: 2.5119e-02, no:       0, try:    108800000
emin+1:  0.000000e+00, e+1:  2.228245e-01, T: 1.8821e-02, no:       0, try:    115600000
emin+1: -5.417718e-03, e+1:  1.648220e-01, T: 1.5849e-02, no:       2, try:    122400000
emin+1: -1.033645e-02, e+1:  1.126480e-01, T: 1.1875e-02, no:       0, try:    129200000
emin+1: -1.834930e-02, e+1:  8.027246e-02, T: 1.0000e-02, no:       2, try:    136000000
emin+1: -2.884611e-02, e+1:  5.761119e-02, T: 7.4928e-03, no:       2, try:    142800000
emin+1: -3.931060e-02, e+1:  4.179189e-02, T: 6.3096e-03, no:       2, try:    149600000
emin+1: -3.931060e-02, e+1:  2.880037e-02, T: 4.7276e-03, no:       0, try:    156400000
emin+1: -4.366757e-02, e+1:  1.829944e-02, T: 3.9811e-03, no:       0, try:    163200000
emin+1: -4.936309e-02, e+1:  6.492797e-03, T: 2.9829e-03, no:       0, try:    170000000
emin+1: -5.249750e-02, e+1: -1.205616e-02, T: 2.5119e-03, no:       0, try:    176800000
emin+1: -5.419494e-02, e+1: -2.532013e-02, T: 1.8821e-03, no:      12, try:    183600000
emin+1: -5.576186e-02, e+1: -3.401368e-02, T: 1.5849e-03, no:       1, try:    190400000
emin+1: -5.674972e-02, e+1: -4.032156e-02, T: 1.1875e-03, no:       5, try:    197200000
emin+1: -5.792965e-02, e+1: -4.446086e-02, T: 1.0000e-03, no:       1, try:    204000000
emin+1: -5.857670e-02, e+1: -4.790180e-02, T: 7.4928e-04, no:       5, try:    210800000
emin+1: -5.866753e-02, e+1: -5.054666e-02, T: 6.3096e-04, no:       0, try:    217600000
emin+1: -5.897283e-02, e+1: -5.276725e-02, T: 4.7276e-04, no:       0, try:    224400000
emin+1: -5.943316e-02, e+1: -5.434872e-02, T: 3.9811e-04, no:       0, try:    231200000
