1 2
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1: -4.141894e-01, e+1: -1.421070e-01, T: 7.4928e-01, no:       1, try:        10000
emin+1: -4.141894e-01, e+1: -1.447199e-01, T: 6.3096e-01, no:       3, try:        20000
emin+1: -4.141894e-01, e+1: -1.431145e-01, T: 4.7276e-01, no:       0, try:        30000
emin+1: -4.141894e-01, e+1: -1.573745e-01, T: 3.9811e-01, no:       0, try:        40000
emin+1: -4.141894e-01, e+1: -1.581212e-01, T: 2.9829e-01, no:       0, try:        50000
emin+1: -4.141941e-01, e+1: -1.812892e-01, T: 2.5119e-01, no:       0, try:        60000
emin+1: -4.141941e-01, e+1: -1.967167e-01, T: 1.8821e-01, no:       0, try:        70000
emin+1: -4.141941e-01, e+1: -2.220061e-01, T: 1.5849e-01, no:       0, try:        80000
emin+1: -4.141941e-01, e+1: -2.500773e-01, T: 1.1875e-01, no:       1, try:        90000
emin+1: -4.142109e-01, e+1: -2.608460e-01, T: 1.0000e-01, no:       0, try:       100000
emin+1: -4.142109e-01, e+1: -2.898343e-01, T: 7.4928e-02, no:       1, try:       110000
emin+1: -4.142109e-01, e+1: -3.217747e-01, T: 6.3096e-02, no:       3, try:       120000
emin+1: -4.142109e-01, e+1: -3.431258e-01, T: 4.7276e-02, no:       0, try:       130000
emin+1: -4.142109e-01, e+1: -3.528918e-01, T: 3.9811e-02, no:       0, try:       140000
emin+1: -4.142109e-01, e+1: -3.725118e-01, T: 2.9829e-02, no:       3, try:       150000
emin+1: -4.142109e-01, e+1: -3.780872e-01, T: 2.5119e-02, no:       0, try:       160000
emin+1: -4.142109e-01, e+1: -3.856380e-01, T: 1.8821e-02, no:       3, try:       170000
emin+1: -4.142109e-01, e+1: -3.922032e-01, T: 1.5849e-02, no:       0, try:       180000
emin+1: -4.142109e-01, e+1: -3.968099e-01, T: 1.1875e-02, no:       1, try:       190000
emin+1: -4.142124e-01, e+1: -3.995714e-01, T: 1.0000e-02, no:       3, try:       200000
emin+1: -4.142124e-01, e+1: -4.023160e-01, T: 7.4928e-03, no:       0, try:       210000
emin+1: -4.142129e-01, e+1: -4.050831e-01, T: 6.3096e-03, no:       0, try:       220000
emin+1: -4.142131e-01, e+1: -4.067372e-01, T: 4.7276e-03, no:       5, try:       230000
emin+1: -4.142131e-01, e+1: -4.081873e-01, T: 3.9811e-03, no:       3, try:       240000
emin+1: -4.142131e-01, e+1: -4.093190e-01, T: 2.9829e-03, no:       4, try:       250000
emin+1: -4.142131e-01, e+1: -4.103211e-01, T: 2.5119e-03, no:      11, try:       260000
emin+1: -4.142131e-01, e+1: -4.109237e-01, T: 1.8821e-03, no:       0, try:       270000
emin+1: -4.142131e-01, e+1: -4.115612e-01, T: 1.5849e-03, no:      10, try:       280000
emin+1: -4.142131e-01, e+1: -4.120907e-01, T: 1.1875e-03, no:       8, try:       290000
emin+1: -4.142134e-01, e+1: -4.125192e-01, T: 1.0000e-03, no:      23, try:       300000
emin+1: -4.142134e-01, e+1: -4.128905e-01, T: 7.4928e-04, no:       2, try:       310000
emin+1: -4.142134e-01, e+1: -4.131335e-01, T: 6.3096e-04, no:      31, try:       320000
emin+1: -4.142134e-01, e+1: -4.134117e-01, T: 4.7276e-04, no:      18, try:       330000
emin+1: -4.142134e-01, e+1: -4.135178e-01, T: 3.9811e-04, no:      20, try:       340000
emin+1: -4.142134e-01, e+1: -4.136878e-01, T: 2.9829e-04, no:       6, try:       350000
emin+1: -4.142134e-01, e+1: -4.137659e-01, T: 2.5119e-04, no:       0, try:       360000
emin+1: -4.142135e-01, e+1: -4.138568e-01, T: 1.8821e-04, no:      30, try:       370000
emin+1: -4.142135e-01, e+1: -4.139594e-01, T: 1.5849e-04, no:      44, try:       380000
emin+1: -4.142135e-01, e+1: -4.140019e-01, T: 1.1875e-04, no:      13, try:       390000
emin+1: -4.142135e-01, e+1: -4.140335e-01, T: 1.0000e-04, no:      17, try:       400000
emin+1: -4.142136e-01, e+1: -4.140779e-01, T: 7.4928e-05, no:       6, try:       410000
emin+1: -4.142136e-01, e+1: -4.140979e-01, T: 6.3096e-05, no:     116, try:       420000
