4 16
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1: -1.412086e-01, e+1:  2.175531e-01, T: 7.4928e-01, no:       0, try:     24000000
emin+1: -1.465488e-01, e+1:  2.161489e-01, T: 6.3096e-01, no:       0, try:     48000000
emin+1: -1.465488e-01, e+1:  2.139059e-01, T: 4.7276e-01, no:       0, try:     72000000
emin+1: -1.465488e-01, e+1:  2.109700e-01, T: 3.9811e-01, no:       1, try:     96000000
emin+1: -1.465488e-01, e+1:  2.074727e-01, T: 2.9829e-01, no:       0, try:    120000000
emin+1: -1.465488e-01, e+1:  2.036839e-01, T: 2.5119e-01, no:       1, try:    144000000
emin+1: -1.465488e-01, e+1:  1.985859e-01, T: 1.8821e-01, no:       0, try:    168000000
emin+1: -1.465488e-01, e+1:  1.925623e-01, T: 1.5849e-01, no:       1, try:    192000000
emin+1: -1.799301e-01, e+1:  1.832161e-01, T: 1.1875e-01, no:       0, try:    216000000
emin+1: -1.799301e-01, e+1:  1.741902e-01, T: 1.0000e-01, no:       1, try:    240000000
emin+1: -1.799301e-01, e+1:  1.615506e-01, T: 7.4928e-02, no:       0, try:    264000000
emin+1: -1.859724e-01, e+1:  1.458400e-01, T: 6.3096e-02, no:       0, try:    288000000
emin+1: -1.938717e-01, e+1:  1.250451e-01, T: 4.7276e-02, no:       0, try:    312000000
emin+1: -2.147917e-01, e+1:  1.023758e-01, T: 3.9811e-02, no:       0, try:    336000000
emin+1: -2.318684e-01, e+1:  7.446178e-02, T: 2.9829e-02, no:       0, try:    360000000
emin+1: -2.561776e-01, e+1:  3.850444e-02, T: 2.5119e-02, no:       2, try:    384000000
emin+1: -3.194279e-01, e+1: -6.955299e-03, T: 1.8821e-02, no:       0, try:    408000000
emin+1: -3.433313e-01, e+1: -6.098118e-02, T: 1.5849e-02, no:       0, try:    432000000
emin+1: -4.148958e-01, e+1: -1.250031e-01, T: 1.1875e-02, no:       0, try:    456000000
emin+1: -4.845096e-01, e+1: -2.094077e-01, T: 1.0000e-02, no:       2, try:    480000000
emin+1: -5.960588e-01, e+1: -3.141551e-01, T: 7.4928e-03, no:       2, try:    504000000
emin+1: -6.884299e-01, e+1: -4.359963e-01, T: 6.3096e-03, no:       1, try:    528000000
emin+1: -8.162222e-01, e+1: -5.530575e-01, T: 4.7276e-03, no:       0, try:    552000000
emin+1: -8.724634e-01, e+1: -6.850056e-01, T: 3.9811e-03, no:       0, try:    576000000
emin+1: -9.065062e-01, e+1: -7.789173e-01, T: 2.9829e-03, no:       0, try:    600000000
emin+1: -9.204168e-01, e+1: -8.339517e-01, T: 2.5119e-03, no:       0, try:    624000000
emin+1: -9.400790e-01, e+1: -8.721664e-01, T: 1.8821e-03, no:       0, try:    648000000
emin+1: -9.579382e-01, e+1: -8.998196e-01, T: 1.5849e-03, no:       1, try:    672000000
emin+1: -9.645779e-01, e+1: -9.219979e-01, T: 1.1875e-03, no:       0, try:    696000000
emin+1: -9.715165e-01, e+1: -9.384641e-01, T: 1.0000e-03, no:       5, try:    720000000
emin+1: -9.773886e-01, e+1: -9.517503e-01, T: 7.4928e-04, no:       2, try:    744000000
emin+1: -9.825357e-01, e+1: -9.618562e-01, T: 6.3096e-04, no:       4, try:    768000000
emin+1: -9.865423e-01, e+1: -9.699813e-01, T: 4.7276e-04, no:      10, try:    792000000
emin+1: -9.885326e-01, e+1: -9.760167e-01, T: 3.9811e-04, no:       6, try:    816000000
emin+1: -9.910139e-01, e+1: -9.811096e-01, T: 2.9829e-04, no:       2, try:    840000000
emin+1: -9.923597e-01, e+1: -9.849675e-01, T: 2.5119e-04, no:       1, try:    864000000
emin+1: -9.944508e-01, e+1: -9.881123e-01, T: 1.8821e-04, no:       2, try:    888000000
emin+1: -9.950290e-01, e+1: -9.905317e-01, T: 1.5849e-04, no:      10, try:    912000000
emin+1: -9.965070e-01, e+1: -9.925187e-01, T: 1.1875e-04, no:       3, try:    936000000
emin+1: -9.971703e-01, e+1: -9.940432e-01, T: 1.0000e-04, no:      36, try:    960000000
emin+1: -9.978794e-01, e+1: -9.952747e-01, T: 7.4928e-05, no:       0, try:    984000000
emin+1: -9.981130e-01, e+1: -9.962439e-01, T: 6.3096e-05, no:       1, try:   1008000000
emin+1: -9.986097e-01, e+1: -9.970202e-01, T: 4.7276e-05, no:       5, try:   1032000000
emin+1: -9.988034e-01, e+1: -9.976267e-01, T: 3.9811e-05, no:      17, try:   1056000000
emin+1: -9.990857e-01, e+1: -9.981209e-01, T: 2.9829e-05, no:      22, try:   1080000000
emin+1: -9.992306e-01, e+1: -9.985018e-01, T: 2.5119e-05, no:       3, try:   1104000000
emin+1: -9.994091e-01, e+1: -9.988230e-01, T: 1.8821e-05, no:      19, try:   1128000000
emin+1: -9.995356e-01, e+1: -9.990588e-01, T: 1.5849e-05, no:       2, try:   1152000000
emin+1: -9.996360e-01, e+1: -9.992521e-01, T: 1.1875e-05, no:      29, try:   1176000000
emin+1: -9.996913e-01, e+1: -9.994034e-01, T: 1.0000e-05, no:       1, try:   1200000000
emin+1: -9.997509e-01, e+1: -9.995287e-01, T: 7.4928e-06, no:      78, try:   1224000000
emin+1: -9.998015e-01, e+1: -9.996253e-01, T: 6.3096e-06, no:       0, try:   1248000000
emin+1: -9.998562e-01, e+1: -9.997022e-01, T: 4.7276e-06, no:      15, try:   1272000000
emin+1: -9.998709e-01, e+1: -9.997638e-01, T: 3.9811e-06, no:      71, try:   1296000000
emin+1: -9.999042e-01, e+1: -9.998113e-01, T: 2.9829e-06, no:       3, try:   1320000000
emin+1: -9.999210e-01, e+1: -9.998508e-01, T: 2.5119e-06, no:      81, try:   1344000000
emin+1: -9.999358e-01, e+1: -9.998813e-01, T: 1.8821e-06, no:      36, try:   1368000000
emin+1: -9.999502e-01, e+1: -9.999047e-01, T: 1.5849e-06, no:      81, try:   1392000000
emin+1: -9.999598e-01, e+1: -9.999252e-01, T: 1.1875e-06, no:      55, try:   1416000000
emin+1: -9.999701e-01, e+1: -9.999401e-01, T: 1.0000e-06, no:      28, try:   1440000000
emin+1: -9.999759e-01, e+1: -9.999528e-01, T: 7.4928e-07, no:      33, try:   1464000000
