1 2
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1: -4.142136e-01, e+1: -4.142129e-01, T: 3.9811e-07, no:     412, try:     32000000
emin+1: -4.142136e-01, e+1: -4.142130e-01, T: 2.9829e-07, no:     596, try:     32500000
emin+1: -4.142136e-01, e+1: -4.142131e-01, T: 2.5119e-07, no:     602, try:     33000000
emin+1: -4.142136e-01, e+1: -4.142132e-01, T: 1.8821e-07, no:    3846, try:     33500000
emin+1: -4.142136e-01, e+1: -4.142133e-01, T: 1.5849e-07, no:    1184, try:     34000000
emin+1: -4.142136e-01, e+1: -4.142134e-01, T: 1.1875e-07, no:     465, try:     34500000
emin+1: -4.142136e-01, e+1: -4.142134e-01, T: 1.0000e-07, no:     349, try:     35000000
emin+1: -4.142136e-01, e+1: -4.142134e-01, T: 7.4928e-08, no:     127, try:     35500000
emin+1: -4.142136e-01, e+1: -4.142135e-01, T: 6.3096e-08, no:     553, try:     36000000
emin+1: -4.142136e-01, e+1: -4.142135e-01, T: 4.7276e-08, no:     417, try:     36500000
emin+1: -4.142136e-01, e+1: -4.142135e-01, T: 3.9811e-08, no:    2403, try:     37000000
emin+1: -4.142136e-01, e+1: -4.142135e-01, T: 2.9829e-08, no:     539, try:     37500000
emin+1: -4.142136e-01, e+1: -4.142135e-01, T: 2.5119e-08, no:      23, try:     38000000
emin+1: -4.142136e-01, e+1: -4.142135e-01, T: 1.8821e-08, no:     669, try:     38500000
emin+1: -4.142136e-01, e+1: -4.142135e-01, T: 1.5849e-08, no:    4088, try:     39000000
emin+1: -4.142136e-01, e+1: -4.142135e-01, T: 1.1875e-08, no:     195, try:     39500000
emin+1: -4.142136e-01, e+1: -4.142135e-01, T: 1.0000e-08, no:    1769, try:     40000000
emin+1: -4.142136e-01, e+1: -4.142135e-01, T: 7.4928e-09, no:    2680, try:     40500000
emin+1: -4.142136e-01, e+1: -4.142135e-01, T: 6.3096e-09, no:    1752, try:     41000000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 4.7276e-09, no:    2885, try:     41500000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 3.9811e-09, no:   21297, try:     42000000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 2.9829e-09, no:    4763, try:     42500000
emin+1: -4.142136e-01, e+1: -4.142136e-01, T: 2.5119e-09, no:    4080, try:     43000000
