                                                                  f(m-1,m) - 1
  m    n        f(m,m+1) - 1                  k               9 - ------------
                                                                  f(m,m+1) - 1
 ---  ---  ----------------------  ----------------------  ----------------------
  77   78  1.8423244487164849e-73  5.5212745369626806e+00  4.6291303355000399e-70
  78   79  2.0470271652405386e-74  5.5212745369626806e+00  5.2089830198432963e-71
  79   80  2.2744746280450429e-75  5.5212745369626806e+00  5.8605420990344379e-72
  80   81  2.5271940311611589e-76  5.5212745369626806e+00  6.5925836523687542e-73
  81   82  2.8079933679568431e-77  5.5212745369626806e+00  7.4149487348510128e-74
  82   83  3.1199926310631592e-78  5.5212745369626806e+00  8.3386716918062572e-75
  83   84  3.4666584789590655e-79  5.5212745369626806e+00  9.3761238400003089e-76
  84   85  3.8518427543989616e-80  5.5212745369626806e+00  1.0541174345918889e-76
  85   86  4.2798252826655129e-81  5.5212745369626806e+00  1.1849370348955174e-77
  86   87  4.7553614251839038e-82  5.5212745369626806e+00  1.3318138620000521e-78
  87   88  5.2837349168710042e-83  5.5212745369626806e+00  1.4967011317340452e-79
  88   89  5.8708165743011155e-84  5.5212745369626806e+00  1.6817878705200359e-80
  89   90  6.5231295270012398e-85  5.5212745369626806e+00  1.8895272039531105e-81
  90   91  7.2479216966680441e-86  5.5212745369626806e+00  2.1226680204883494e-82
  91   92  8.0532463296311589e-87  5.5212745369626806e+00  2.3842904110196523e-83
  92   93  8.9480514773679548e-88  5.5212745369626806e+00  2.6778453325271914e-84
  93   94  9.9422794192977277e-89  5.5212745369626806e+00  3.0071989969497433e-85
  94   95  1.1046977132553030e-89  5.5212745369626806e+00  3.3766825456572171e-86
  95   96  1.2274419036170034e-90  5.5212745369626806e+00  3.7911476360904304e-87
  96   97  1.3638243373522261e-91  5.5212745369626806e+00  4.2560286411179720e-88
  97   98  1.5153603748358067e-92  5.5212745369626806e+00  4.7774122443480477e-89
  98   99  1.6837337498175630e-93  5.5212745369626806e+00  5.3621153070475486e-90
  99  100  1.8708152775750700e-94  5.5212745369626806e+00  6.0177719856018969e-91
