                                                                  f(m-2,m) - 1
  m    n        f(m,m+2) - 1                  k               9 - ------------
                                                                  f(m,m+2) - 1
 ---  ---  ----------------------  ----------------------  ----------------------
   1    3  7.3205080756887730e-01  2.1961524227066320e+00
   2    4  4.1421356237309503e-01  3.7279220613578556e+00
   3    5  9.6376317177312806e-02  2.6021605637874456e+00  1.4042458872748496e+00
   4    6  6.0660171779821290e-02  4.9134739141655244e+00  2.1715728752538097e+00
   5    7  1.2102089880133967e-02  2.9408078408725542e+00  1.0363905629623420e+00
   6    8  7.4347568842793761e-03  5.4199377686396657e+00  8.4100129648007227e-01
   7    9  1.3754979049974453e-03  3.0082139182294130e+00  2.0166607585167862e-01
   8   10  8.3944685934978858e-04  5.5076108441939633e+00  1.4326678160649145e-01
   9   11  1.5331701224930298e-04  3.0177387521030306e+00  2.8406536120073583e-02
  10   12  9.3473576519631897e-05  5.5195212199077437e+00  1.9420775308807731e-02
  11   13  1.7042268947510764e-05  3.0189868172446896e+00  3.7206476725133784e-03
  12   14  1.0388837406508226e-05  5.5210541401521391e+00  2.4988492866276925e-03
  13   15  1.8936852376256146e-06  3.0191459291069829e+00  4.7430856085304678e-04
  14   16  1.1543556344109752e-06  5.5212472143630285e+00  3.1472379890705172e-04
  15   17  2.1041086046751760e-07  3.0191658686383867e+00  5.9438861739196632e-05
  16   18  1.2826229403987534e-07  5.5212711863544763e+00  3.9075770008549599e-05
  17   19  2.3379003595786932e-08  3.0191683351375103e+00  7.3525188563222809e-06
  18   20  1.4251373601722767e-08  5.5212741297011263e+00  4.7978273176005031e-06
  19   21  2.5976673259863465e-09  3.0191686370788582e+00  9.0007298628781038e-07
  20   22  1.5834860584560921e-09  5.5212744878256768e+00  5.8376394005298422e-07
  21   23  2.8862970639083223e-10  3.0191686737262913e+00  1.0924427633547515e-07
  22   24  1.7594289676208960e-10  5.5212745310712670e+00  7.0492839462273319e-08
  23   25  3.2069967423668564e-11  3.0191686781424938e+00  1.3164492119122465e-08
  24   26  1.9549210769715447e-11  5.5212745362601074e+00  8.4581125603754826e-09
  25   27  3.5633297143652258e-12  3.0191686786714351e+00  1.5767479008211609e-09
  26   28  2.1721345302119755e-12  5.5212745368792868e+00  1.0092985908503449e-09
  27   29  3.9592552382662290e-13  3.0191686787344563e+00  1.8786382801318440e-10
  28   30  2.4134828113787835e-13  5.5212745369528218e+00  1.1986743288846866e-10
  29   31  4.3991724869733678e-14  3.0191686787419312e+00  2.2281493864646797e-11
  30   32  2.6816475682028726e-14  5.5212745369615197e+00  1.4176730876377313e-11
  31   33  4.8879694299718382e-15  3.0191686787428136e+00  2.6321365622849942e-12
  32   34  2.9796084091148561e-15  5.5212745369625438e+00  1.6705397886930323e-12
  33   35  5.4310771444133401e-16  3.0191686787429179e+00  3.0983906489392212e-13
  34   36  3.3106760101276898e-16  5.5212745369626646e+00  1.9620969530946588e-13
  35   37  6.0345301604592920e-17  3.0191686787429299e+00  3.6357612417340163e-14
  36   38  3.6785289001418870e-17  5.5212745369626788e+00  2.2978206504653467e-14
  37   39  6.7050335116214380e-18  3.0191686787429313e+00  4.2542957854097072e-15
  38   40  4.0872543334909869e-18  5.5212745369626797e+00  2.6839261947443291e-15
  39   41  7.4500372351349319e-19  3.0191686787429313e+00  4.9653965086462187e-16
  40   42  4.5413937038788744e-19  5.5212745369626806e+00  3.1274648149067130e-16
  41   43  8.2778191501499241e-20  3.0191686787429313e+00  5.7819974446339293e-17
  42   44  5.0459930043098606e-20  5.5212745369626806e+00  3.6364326815898188e-17
  43   45  9.1975768334999158e-21  3.0191686787429313e+00  6.7187640638208077e-18
  44   46  5.6066588936776226e-21  5.5212745369626806e+00  4.2198938419197056e-18
  45   47  1.0219529814999906e-21  3.0191686787429313e+00  7.7923183583253394e-19
  46   48  6.2296209929751369e-22  5.5212745369626806e+00  4.8881188072415435e-19
  47   49  1.1355033127777673e-22  3.0191686787429313e+00  9.0214925693392614e-20
  48   50  6.9218011033057068e-23  5.5212745369626806e+00  5.6527407544630527e-20
  49   51  1.2616703475308527e-23  3.0191686787429313e+00  1.0427615143809052e-20
  50   52  7.6908901147841187e-24  5.5212745369626806e+00  6.5269315441875950e-21
  51   53  1.4018559417009474e-24  3.0191686787429313e+00  1.2034832950021028e-21
  52   54  8.5454334608712442e-25  5.5212745369626806e+00  7.5256000309563190e-22
  53   55  1.5576177130010526e-25  3.0191686787429313e+00  1.3870474279294812e-22
  54   56  9.4949260676347147e-26  5.5212745369626806e+00  8.6656154463379987e-23
  55   57  1.7306863477789474e-26  3.0191686787429313e+00  1.5965457719394613e-23
  56   58  1.0549917852927461e-26  5.5212745369626806e+00  9.9660589783359005e-24
  57   59  1.9229848308654972e-27  3.0191686787429313e+00  1.8354752611870974e-24
  58   60  1.1722130947697179e-27  5.5212745369626806e+00  1.1448507055143976e-24
  59   61  2.1366498120727748e-28  3.0191686787429313e+00  2.1077897508608810e-25
  60   62  1.3024589941885755e-28  5.5212745369626806e+00  1.3137350272744760e-25
  61   63  2.3740553467475274e-29  3.0191686787429313e+00  2.4179583831635667e-26
  62   64  1.4471766602095282e-29  5.5212745369626806e+00  1.5060152389872338e-26
  63   65  2.6378392741639191e-30  3.0191686787429313e+00  2.7710312825105418e-27
  64   66  1.6079740668994757e-30  5.5212745369626806e+00  1.7248054356821546e-27
  65   67  2.9309325268487992e-31  3.0191686787429313e+00  3.1727134880930966e-28
  66   68  1.7866378521105287e-31  5.5212745369626806e+00  1.9736228953588195e-28
  67   69  3.2565916964986660e-32  3.0191686787429313e+00  3.6294481432802866e-29
  68   70  1.9851531690116985e-32  5.5212745369626806e+00  2.2564392295848404e-29
  69   71  3.6184352183318507e-33  3.0191686787429313e+00  4.1485100861869387e-30
  70   72  2.2057257433463319e-33  5.5212745369626806e+00  2.5777379233257943e-30
  71   73  4.0204835759242783e-34  3.0191686787429313e+00  4.7381111257483968e-31
  72   74  2.4508063814959242e-34  5.5212745369626806e+00  2.9425790523476410e-31
  73   75  4.4672039732491986e-35  3.0191686787429313e+00  5.4075184446421929e-32
  74   76  2.7231182016621379e-35  5.5212745369626806e+00  3.3566720628394563e-32
  75   77  4.9635599702768874e-36  3.0191686787429313e+00  6.1671877464290747e-33
  76   78  3.0256868907357092e-36  5.5212745369626806e+00  3.8264576058807165e-33
  77   79  5.5150666336409861e-37  3.0191686787429313e+00  7.0289129616421512e-34
  78   80  3.3618743230396765e-37  5.5212745369626806e+00  4.3591995404269538e-34
  79   81  6.1278518151566508e-38  3.0191686787429313e+00  8.0059945487985136e-35
  80   82  3.7354159144885296e-38  5.5212745369626806e+00  4.9630883541824718e-35
  81   83  6.8087242390629454e-39  3.0191686787429313e+00  9.1134286743150287e-36
  82   84  4.1504621272094770e-39  5.5212745369626806e+00  5.6473574038290042e-36
  83   85  7.5652491545143845e-40  3.0191686787429313e+00  1.0368119833294492e-36
  84   86  4.6116245857883080e-40  5.5212745369626806e+00  6.4224135465552306e-37
  85   87  8.4058323939048711e-41  3.0191686787429313e+00  1.1789119784709949e-37
  86   88  5.1240273175425640e-41  5.5212745369626806e+00  7.2999839258893961e-38
  87   89  9.3398137710054116e-42  3.0191686787429313e+00  1.3397896023683227e-38
  88   90  5.6933636861584047e-42  5.5212745369626806e+00  8.2932808889452876e-39
  89   91  1.0377570856672680e-42  3.0191686787429313e+00  1.5218633404839331e-39
  90   92  6.3259596512871164e-43  5.5212745369626806e+00  9.4171872521137288e-40
  91   93  1.1530634285191867e-43  3.0191686787429313e+00  1.7278572969169841e-40
  92   94  7.0288440569856848e-44  5.5212745369626806e+00  1.0688464401061018e-40
  93   95  1.2811815872435408e-44  3.0191686787429313e+00  1.9608392518106651e-41
  94   96  7.8098267299840944e-45  5.5212745369626806e+00  1.2125986012093955e-41
  95   97  1.4235350969372676e-45  3.0191686787429313e+00  2.2242634028916200e-42
  96   98  8.6775852555378823e-46  5.5212745369626806e+00  1.3751000519392720e-42
  97   99  1.5817056632636305e-46  3.0191686787429313e+00  2.5220183622151253e-43
  98  100  9.6417613950420913e-47  5.5212745369626806e+00  1.5587425830633258e-43
