2 3
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1: -6.066011e-02, e+1: -6.065853e-02, T: 3.9811e-07, no:     182, try:     11520000
emin+1: -6.066011e-02, e+1: -6.065867e-02, T: 2.9829e-07, no:      19, try:     11700000
emin+1: -6.066011e-02, e+1: -6.065917e-02, T: 2.5119e-07, no:      20, try:     11880000
emin+1: -6.066013e-02, e+1: -6.065945e-02, T: 1.8821e-07, no:     137, try:     12060000
emin+1: -6.066013e-02, e+1: -6.065949e-02, T: 1.5849e-07, no:     113, try:     12240000
emin+1: -6.066014e-02, e+1: -6.065964e-02, T: 1.1875e-07, no:     445, try:     12420000
emin+1: -6.066014e-02, e+1: -6.065973e-02, T: 1.0000e-07, no:     607, try:     12600000
emin+1: -6.066015e-02, e+1: -6.065991e-02, T: 7.4928e-08, no:    1784, try:     12780000
emin+1: -6.066015e-02, e+1: -6.065997e-02, T: 6.3096e-08, no:     250, try:     12960000
emin+1: -6.066016e-02, e+1: -6.065999e-02, T: 4.7276e-08, no:      94, try:     13140000
emin+1: -6.066016e-02, e+1: -6.066001e-02, T: 3.9811e-08, no:     738, try:     13320000
emin+1: -6.066016e-02, e+1: -6.066004e-02, T: 2.9829e-08, no:     237, try:     13500000
emin+1: -6.066016e-02, e+1: -6.066008e-02, T: 2.5119e-08, no:    1162, try:     13680000
emin+1: -6.066016e-02, e+1: -6.066009e-02, T: 1.8821e-08, no:     287, try:     13860000
emin+1: -6.066017e-02, e+1: -6.066009e-02, T: 1.5849e-08, no:    1439, try:     14040000
emin+1: -6.066017e-02, e+1: -6.066013e-02, T: 1.1875e-08, no:       4, try:     14220000
emin+1: -6.066017e-02, e+1: -6.066012e-02, T: 1.0000e-08, no:      33, try:     14400000
emin+1: -6.066017e-02, e+1: -6.066015e-02, T: 7.4928e-09, no:    1188, try:     14580000
emin+1: -6.066017e-02, e+1: -6.066014e-02, T: 6.3096e-09, no:      67, try:     14760000
emin+1: -6.066017e-02, e+1: -6.066015e-02, T: 4.7276e-09, no:      20, try:     14940000
emin+1: -6.066017e-02, e+1: -6.066016e-02, T: 3.9811e-09, no:       2, try:     15120000
emin+1: -6.066017e-02, e+1: -6.066016e-02, T: 2.9829e-09, no:    3096, try:     15300000
emin+1: -6.066017e-02, e+1: -6.066016e-02, T: 2.5119e-09, no:    1425, try:     15480000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.8821e-09, no:    1984, try:     15660000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.5849e-09, no:    3125, try:     15840000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.1875e-09, no:     566, try:     16020000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.0000e-09, no:    2408, try:     16200000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 7.4928e-10, no:     705, try:     16380000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 6.3096e-10, no:    4834, try:     16560000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 4.7276e-10, no:    5631, try:     16740000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 3.9811e-10, no:    1049, try:     16920000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 2.9829e-10, no:    3284, try:     17100000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 2.5119e-10, no:    7383, try:     17280000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.8821e-10, no:    1180, try:     17460000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.5849e-10, no:    5022, try:     17640000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.1875e-10, no:    5993, try:     17820000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.0000e-10, no:   30115, try:     18000000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 7.4928e-11, no:    5856, try:     18180000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 6.3096e-11, no:   19408, try:     18360000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 4.7276e-11, no:    4814, try:     18540000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 3.9811e-11, no:   10707, try:     18720000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 2.9829e-11, no:   45940, try:     18900000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 2.5119e-11, no:    4834, try:     19080000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.8821e-11, no:    5067, try:     19260000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.5849e-11, no:   24019, try:     19440000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.1875e-11, no:    7011, try:     19620000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.0000e-11, no:    4440, try:     19800000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 7.4928e-12, no:    9261, try:     19980000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 6.3096e-12, no:      80, try:     20160000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 4.7276e-12, no:   26701, try:     20340000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 3.9811e-12, no:    8392, try:     20520000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 2.9829e-12, no:   15926, try:     20700000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 2.5119e-12, no:    4121, try:     20880000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.8821e-12, no:     241, try:     21060000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.5849e-12, no:    7438, try:     21240000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.1875e-12, no:   10869, try:     21420000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.0000e-12, no:    6585, try:     21600000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 7.4928e-13, no:    1481, try:     21780000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 6.3096e-13, no:     458, try:     21960000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 4.7276e-13, no:    7859, try:     22140000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 3.9811e-13, no:    1826, try:     22320000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 2.9829e-13, no:     368, try:     22500000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 2.5119e-13, no:    4561, try:     22680000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.8821e-13, no:    1820, try:     22860000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.5849e-13, no:     942, try:     23040000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.1875e-13, no:    3082, try:     23220000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.0000e-13, no:    1071, try:     23400000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 7.4928e-14, no:      98, try:     23580000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 6.3096e-14, no:    5924, try:     23760000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 4.7276e-14, no:    1937, try:     23940000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 3.9811e-14, no:    3836, try:     24120000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 2.9829e-14, no:     291, try:     24300000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 2.5119e-14, no:     130, try:     24480000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.8821e-14, no:    1052, try:     24660000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.5849e-14, no:    1608, try:     24840000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.1875e-14, no:    3267, try:     25020000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.0000e-14, no:    1295, try:     25200000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 7.4928e-15, no:      62, try:     25380000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 6.3096e-15, no:      63, try:     25560000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 4.7276e-15, no:     527, try:     25740000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 3.9811e-15, no:     894, try:     25920000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 2.9829e-15, no:     263, try:     26100000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 2.5119e-15, no:      23, try:     26280000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.8821e-15, no:     463, try:     26460000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.5849e-15, no:      95, try:     26640000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.1875e-15, no:     132, try:     26820000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.0000e-15, no:     216, try:     27000000

Last chain: -1.060660171740116204468738770e+00
Best chain: -1.060660171750158431176053186e+00 (-1.060660171750158431176053186e+00)

Error: length:  0.000000000000000000000000000e+00, angle:  0.000000000000000000000000000e+00


Last chain: -1.060660171740116204468738770e+00
Best chain: -1.060660171750158431176053186e+00 (-1.060660171750158431176053186e+00)

Error: length:  0.000000000000000000000000000e+00, angle:  0.000000000000000000000000000e+00


3 10
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1: -2.148000e-01, e+1:  1.677381e-01, T: 7.4928e-01, no:       1, try:      2025000
emin+1: -2.238454e-01, e+1:  1.668890e-01, T: 6.3096e-01, no:       1, try:      4050000
emin+1: -2.552881e-01, e+1:  1.640321e-01, T: 4.7276e-01, no:       2, try:      6075000
emin+1: -2.552881e-01, e+1:  1.593173e-01, T: 3.9811e-01, no:       0, try:      8100000
emin+1: -2.552881e-01, e+1:  1.553972e-01, T: 2.9829e-01, no:       2, try:     10125000
emin+1: -2.552881e-01, e+1:  1.453311e-01, T: 2.5119e-01, no:       1, try:     12150000
emin+1: -2.552881e-01, e+1:  1.402359e-01, T: 1.8821e-01, no:       0, try:     14175000
emin+1: -2.646210e-01, e+1:  1.324613e-01, T: 1.5849e-01, no:       0, try:     16200000
emin+1: -3.122040e-01, e+1:  1.208350e-01, T: 1.1875e-01, no:       1, try:     18225000
emin+1: -3.122040e-01, e+1:  1.054270e-01, T: 1.0000e-01, no:       0, try:     20250000
emin+1: -3.122040e-01, e+1:  8.301823e-02, T: 7.4928e-02, no:       0, try:     22275000
emin+1: -3.122040e-01, e+1:  6.479540e-02, T: 6.3096e-02, no:       0, try:     24300000
