3 10
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1: -3.049895e-01, e+1:  1.679557e-01, T: 7.4928e-01, no:       0, try:     40500000
emin+1: -3.083968e-01, e+1:  1.656626e-01, T: 6.3096e-01, no:       2, try:     81000000
emin+1: -3.083968e-01, e+1:  1.626645e-01, T: 4.7276e-01, no:       2, try:    121500000
emin+1: -3.083968e-01, e+1:  1.592927e-01, T: 3.9811e-01, no:       2, try:    162000000
emin+1: -3.083968e-01, e+1:  1.542959e-01, T: 2.9829e-01, no:       0, try:    202500000
emin+1: -3.083968e-01, e+1:  1.491410e-01, T: 2.5119e-01, no:       4, try:    243000000
emin+1: -3.083968e-01, e+1:  1.406213e-01, T: 1.8821e-01, no:       0, try:    283500000
emin+1: -3.301000e-01, e+1:  1.322744e-01, T: 1.5849e-01, no:       1, try:    324000000
emin+1: -3.459204e-01, e+1:  1.189136e-01, T: 1.1875e-01, no:       2, try:    364500000
emin+1: -3.459204e-01, e+1:  1.043719e-01, T: 1.0000e-01, no:       1, try:    405000000
emin+1: -3.684291e-01, e+1:  8.262715e-02, T: 7.4928e-02, no:       0, try:    445500000
emin+1: -3.688833e-01, e+1:  5.917320e-02, T: 6.3096e-02, no:       0, try:    486000000
emin+1: -4.190478e-01, e+1:  2.569187e-02, T: 4.7276e-02, no:       0, try:    526500000
emin+1: -4.190478e-01, e+1: -9.785199e-03, T: 3.9811e-02, no:       1, try:    567000000
emin+1: -4.600377e-01, e+1: -5.833406e-02, T: 2.9829e-02, no:       4, try:    607500000
emin+1: -5.033040e-01, e+1: -1.139864e-01, T: 2.5119e-02, no:       0, try:    648000000
emin+1: -5.267868e-01, e+1: -1.813324e-01, T: 1.8821e-02, no:       0, try:    688500000
emin+1: -5.990208e-01, e+1: -2.539132e-01, T: 1.5849e-02, no:       1, try:    729000000
emin+1: -6.537937e-01, e+1: -3.466038e-01, T: 1.1875e-02, no:       1, try:    769500000
emin+1: -6.694288e-01, e+1: -4.395952e-01, T: 1.0000e-02, no:       2, try:    810000000
emin+1: -6.967250e-01, e+1: -5.264123e-01, T: 7.4928e-03, no:       3, try:    850500000
emin+1: -7.072903e-01, e+1: -5.845295e-01, T: 6.3096e-03, no:       1, try:    891000000
emin+1: -7.167065e-01, e+1: -6.252412e-01, T: 4.7276e-03, no:       0, try:    931500000
emin+1: -7.211949e-01, e+1: -6.521372e-01, T: 3.9811e-03, no:       0, try:    972000000
emin+1: -7.237867e-01, e+1: -6.730324e-01, T: 2.9829e-03, no:       0, try:   1012500000
emin+1: -7.267097e-01, e+1: -6.875086e-01, T: 2.5119e-03, no:       2, try:   1053000000
emin+1: -7.294439e-01, e+1: -6.989856e-01, T: 1.8821e-03, no:       0, try:   1093500000
emin+1: -7.305275e-01, e+1: -7.072618e-01, T: 1.5849e-03, no:       5, try:   1134000000
emin+1: -7.318341e-01, e+1: -7.137981e-01, T: 1.1875e-03, no:       4, try:   1174500000
emin+1: -7.332531e-01, e+1: -7.184692e-01, T: 1.0000e-03, no:       1, try:   1215000000
emin+1: -7.340988e-01, e+1: -7.222963e-01, T: 7.4928e-04, no:       1, try:   1255500000
emin+1: -7.360956e-01, e+1: -7.251232e-01, T: 6.3096e-04, no:       1, try:   1296000000
emin+1: -7.368331e-01, e+1: -7.275485e-01, T: 4.7276e-04, no:       2, try:   1336500000
emin+1: -7.376535e-01, e+1: -7.297036e-01, T: 3.9811e-04, no:       9, try:   1377000000
emin+1: -7.387211e-01, e+1: -7.321219e-01, T: 2.9829e-04, no:       2, try:   1417500000
emin+1: -7.392768e-01, e+1: -7.340744e-01, T: 2.5119e-04, no:       1, try:   1458000000
emin+1: -7.400061e-01, e+1: -7.358300e-01, T: 1.8821e-04, no:      12, try:   1498500000
emin+1: -7.403190e-01, e+1: -7.371737e-01, T: 1.5849e-04, no:       1, try:   1539000000
emin+1: -7.407093e-01, e+1: -7.380174e-01, T: 1.1875e-04, no:       0, try:   1579500000
emin+1: -7.408134e-01, e+1: -7.384386e-01, T: 1.0000e-04, no:       3, try:   1620000000
emin+1: -7.409245e-01, e+1: -7.395154e-01, T: 7.4928e-05, no:       2, try:   1660500000
emin+1: -7.411822e-01, e+1: -7.399538e-01, T: 6.3096e-05, no:       3, try:   1701000000
emin+1: -7.412177e-01, e+1: -7.403127e-01, T: 4.7276e-05, no:       9, try:   1741500000
emin+1: -7.413608e-01, e+1: -7.405798e-01, T: 3.9811e-05, no:       1, try:   1782000000
emin+1: -7.414341e-01, e+1: -7.408125e-01, T: 2.9829e-05, no:       3, try:   1822500000
emin+1: -7.414471e-01, e+1: -7.409804e-01, T: 2.5119e-05, no:       3, try:   1863000000
emin+1: -7.415053e-01, e+1: -7.411247e-01, T: 1.8821e-05, no:       5, try:   1903500000
emin+1: -7.415289e-01, e+1: -7.412304e-01, T: 1.5849e-05, no:      24, try:   1944000000
emin+1: -7.415468e-01, e+1: -7.413195e-01, T: 1.1875e-05, no:      14, try:   1984500000
emin+1: -7.415639e-01, e+1: -7.413871e-01, T: 1.0000e-05, no:      13, try:   2025000000
emin+1: -7.415862e-01, e+1: -7.414455e-01, T: 7.4928e-06, no:      47, try:   2065500000
emin+1: -7.415967e-01, e+1: -7.414873e-01, T: 6.3096e-06, no:       1, try:   2106000000
emin+1: -7.416122e-01, e+1: -7.415216e-01, T: 4.7276e-06, no:      28, try:   2146500000
emin+1: -7.416236e-01, e+1: -7.415504e-01, T: 3.9811e-06, no:      31, try:   2187000000
emin+1: -7.416303e-01, e+1: -7.415724e-01, T: 2.9829e-06, no:       7, try:   2227500000
emin+1: -7.416341e-01, e+1: -7.415896e-01, T: 2.5119e-06, no:     147, try:   2268000000
emin+1: -7.416397e-01, e+1: -7.416038e-01, T: 1.8821e-06, no:       6, try:   2308500000
emin+1: -7.416420e-01, e+1: -7.416151e-01, T: 1.5849e-06, no:      98, try:   2349000000
emin+1: -7.416462e-01, e+1: -7.416234e-01, T: 1.1875e-06, no:      73, try:   2389500000
emin+1: -7.416472e-01, e+1: -7.416303e-01, T: 1.0000e-06, no:      80, try:   2430000000
emin+1: -7.416487e-01, e+1: -7.416357e-01, T: 7.4928e-07, no:     196, try:   2470500000
emin+1: -7.416508e-01, e+1: -7.416402e-01, T: 6.3096e-07, no:      20, try:   2511000000
emin+1: -7.416534e-01, e+1: -7.416438e-01, T: 4.7276e-07, no:     154, try:   2551500000
emin+1: -7.416534e-01, e+1: -7.416468e-01, T: 3.9811e-07, no:     177, try:   2592000000
emin+1: -7.416546e-01, e+1: -7.416488e-01, T: 2.9829e-07, no:      36, try:   2632500000
emin+1: -7.416548e-01, e+1: -7.416505e-01, T: 2.5119e-07, no:      85, try:   2673000000
emin+1: -7.416553e-01, e+1: -7.416521e-01, T: 1.8821e-07, no:     377, try:   2713500000
emin+1: -7.416559e-01, e+1: -7.416531e-01, T: 1.5849e-07, no:      68, try:   2754000000
emin+1: -7.416563e-01, e+1: -7.416540e-01, T: 1.1875e-07, no:      66, try:   2794500000
emin+1: -7.416563e-01, e+1: -7.416547e-01, T: 1.0000e-07, no:     186, try:   2835000000
emin+1: -7.416567e-01, e+1: -7.416553e-01, T: 7.4928e-08, no:      85, try:   2875500000
emin+1: -7.416567e-01, e+1: -7.416557e-01, T: 6.3096e-08, no:     278, try:   2916000000
emin+1: -7.416568e-01, e+1: -7.416560e-01, T: 4.7276e-08, no:      73, try:   2956500000
emin+1: -7.416570e-01, e+1: -7.416563e-01, T: 3.9811e-08, no:      98, try:   2997000000
