5 7
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1:  0.000000e+00, e+1:  4.779336e-01, T: 7.4928e-01, no:       3, try:     13700000
emin+1:  0.000000e+00, e+1:  4.777330e-01, T: 6.3096e-01, no:       0, try:     27400000
emin+1:  0.000000e+00, e+1:  4.771585e-01, T: 4.7276e-01, no:       0, try:     41100000
emin+1:  0.000000e+00, e+1:  4.768942e-01, T: 3.9811e-01, no:       5, try:     54800000
emin+1:  0.000000e+00, e+1:  4.760247e-01, T: 2.9829e-01, no:       1, try:     68500000
emin+1:  0.000000e+00, e+1:  4.754462e-01, T: 2.5119e-01, no:       2, try:     82200000
emin+1:  0.000000e+00, e+1:  4.743324e-01, T: 1.8821e-01, no:       1, try:     95900000
emin+1:  0.000000e+00, e+1:  4.728076e-01, T: 1.5849e-01, no:       0, try:    109600000
emin+1:  0.000000e+00, e+1:  4.710935e-01, T: 1.1875e-01, no:       0, try:    123300000
emin+1:  0.000000e+00, e+1:  4.692115e-01, T: 1.0000e-01, no:       4, try:    137000000
emin+1:  0.000000e+00, e+1:  4.661349e-01, T: 7.4928e-02, no:       0, try:    150700000
emin+1:  0.000000e+00, e+1:  4.624590e-01, T: 6.3096e-02, no:       0, try:    164400000
emin+1:  0.000000e+00, e+1:  4.569909e-01, T: 4.7276e-02, no:       0, try:    178100000
emin+1:  0.000000e+00, e+1:  4.503953e-01, T: 3.9811e-02, no:       0, try:    191800000
emin+1:  0.000000e+00, e+1:  4.403011e-01, T: 2.9829e-02, no:       1, try:    205500000
emin+1:  0.000000e+00, e+1:  4.236889e-01, T: 2.5119e-02, no:       2, try:    219200000
emin+1:  0.000000e+00, e+1:  3.960380e-01, T: 1.8821e-02, no:       3, try:    232900000
emin+1:  0.000000e+00, e+1:  3.498873e-01, T: 1.5849e-02, no:       0, try:    246600000
emin+1:  0.000000e+00, e+1:  2.569286e-01, T: 1.1875e-02, no:       0, try:    260300000
emin+1:  0.000000e+00, e+1:  1.703829e-01, T: 1.0000e-02, no:       1, try:    274000000
emin+1:  0.000000e+00, e+1:  1.183698e-01, T: 7.4928e-03, no:       0, try:    287700000
emin+1:  0.000000e+00, e+1:  8.840206e-02, T: 6.3096e-03, no:       0, try:    301400000
emin+1:  0.000000e+00, e+1:  6.489736e-02, T: 4.7276e-03, no:       2, try:    315100000
emin+1:  0.000000e+00, e+1:  4.913943e-02, T: 3.9811e-03, no:       4, try:    328800000
emin+1:  0.000000e+00, e+1:  3.618725e-02, T: 2.9829e-03, no:       2, try:    342500000
emin+1:  0.000000e+00, e+1:  2.675444e-02, T: 2.5119e-03, no:       7, try:    356200000
emin+1: -2.114915e-03, e+1:  1.936342e-02, T: 1.8821e-03, no:       2, try:    369900000
emin+1: -3.099710e-03, e+1:  1.430362e-02, T: 1.5849e-03, no:       1, try:    383600000
emin+1: -4.128618e-03, e+1:  1.024403e-02, T: 1.1875e-03, no:       0, try:    397300000
emin+1: -4.969025e-03, e+1:  7.099330e-03, T: 1.0000e-03, no:       3, try:    411000000
emin+1: -6.264774e-03, e+1:  4.697548e-03, T: 7.4928e-04, no:       1, try:    424700000
emin+1: -6.264774e-03, e+1:  2.653527e-03, T: 6.3096e-04, no:       0, try:    438400000
emin+1: -7.424973e-03, e+1:  8.945864e-04, T: 4.7276e-04, no:       1, try:    452100000
emin+1: -9.105984e-03, e+1: -1.506528e-03, T: 3.9811e-04, no:       1, try:    465800000
emin+1: -9.507476e-03, e+1: -3.664701e-03, T: 2.9829e-04, no:       2, try:    479500000
emin+1: -1.032160e-02, e+1: -5.687059e-03, T: 2.5119e-04, no:       1, try:    493200000
emin+1: -1.086887e-02, e+1: -7.312601e-03, T: 1.8821e-04, no:       2, try:    506900000
emin+1: -1.090731e-02, e+1: -8.436935e-03, T: 1.5849e-04, no:       1, try:    520600000
emin+1: -1.133812e-02, e+1: -9.272119e-03, T: 1.1875e-04, no:       9, try:    534300000
emin+1: -1.147755e-02, e+1: -9.785429e-03, T: 1.0000e-04, no:       0, try:    548000000
emin+1: -1.155870e-02, e+1: -1.031067e-02, T: 7.4928e-05, no:       1, try:    561700000
emin+1: -1.168032e-02, e+1: -1.068643e-02, T: 6.3096e-05, no:       2, try:    575400000
emin+1: -1.173045e-02, e+1: -1.098013e-02, T: 4.7276e-05, no:       8, try:    589100000
emin+1: -1.182666e-02, e+1: -1.119923e-02, T: 3.9811e-05, no:       4, try:    602800000
emin+1: -1.190163e-02, e+1: -1.138933e-02, T: 2.9829e-05, no:       2, try:    616500000
emin+1: -1.193102e-02, e+1: -1.153784e-02, T: 2.5119e-05, no:      13, try:    630200000
emin+1: -1.196088e-02, e+1: -1.165133e-02, T: 1.8821e-05, no:       0, try:    643900000
emin+1: -1.198571e-02, e+1: -1.174771e-02, T: 1.5849e-05, no:       4, try:    657600000
emin+1: -1.203179e-02, e+1: -1.181912e-02, T: 1.1875e-05, no:       7, try:    671300000
emin+1: -1.204588e-02, e+1: -1.187830e-02, T: 1.0000e-05, no:      11, try:    685000000
emin+1: -1.205071e-02, e+1: -1.192382e-02, T: 7.4928e-06, no:       7, try:    698700000
emin+1: -1.205706e-02, e+1: -1.196670e-02, T: 6.3096e-06, no:       1, try:    712400000
emin+1: -1.206825e-02, e+1: -1.199232e-02, T: 4.7276e-06, no:      23, try:    726100000
emin+1: -1.208026e-02, e+1: -1.201484e-02, T: 3.9811e-06, no:       5, try:    739800000
emin+1: -1.208026e-02, e+1: -1.202938e-02, T: 2.9829e-06, no:       9, try:    753500000
emin+1: -1.208252e-02, e+1: -1.204545e-02, T: 2.5119e-06, no:       1, try:    767200000
emin+1: -1.208765e-02, e+1: -1.205662e-02, T: 1.8821e-06, no:       6, try:    780900000
emin+1: -1.209038e-02, e+1: -1.206696e-02, T: 1.5849e-06, no:      83, try:    794600000
emin+1: -1.209142e-02, e+1: -1.207213e-02, T: 1.1875e-06, no:       8, try:    808300000
emin+1: -1.209508e-02, e+1: -1.208035e-02, T: 1.0000e-06, no:       1, try:    822000000
emin+1: -1.209704e-02, e+1: -1.208492e-02, T: 7.4928e-07, no:       0, try:    835700000
emin+1: -1.209763e-02, e+1: -1.208805e-02, T: 6.3096e-07, no:      46, try:    849400000
emin+1: -1.209799e-02, e+1: -1.209118e-02, T: 4.7276e-07, no:      73, try:    863100000
emin+1: -1.209984e-02, e+1: -1.209357e-02, T: 3.9811e-07, no:      19, try:    876800000
emin+1: -1.210003e-02, e+1: -1.209502e-02, T: 2.9829e-07, no:      23, try:    890500000
emin+1: -1.210003e-02, e+1: -1.209650e-02, T: 2.5119e-07, no:      17, try:    904200000
emin+1: -1.210050e-02, e+1: -1.209725e-02, T: 1.8821e-07, no:      45, try:    917900000
emin+1: -1.210076e-02, e+1: -1.209849e-02, T: 1.5849e-07, no:      32, try:    931600000
emin+1: -1.210099e-02, e+1: -1.209919e-02, T: 1.1875e-07, no:      25, try:    945300000
emin+1: -1.210125e-02, e+1: -1.209987e-02, T: 1.0000e-07, no:      24, try:    959000000
emin+1: -1.210141e-02, e+1: -1.210003e-02, T: 7.4928e-08, no:     144, try:    972700000
emin+1: -1.210146e-02, e+1: -1.210052e-02, T: 6.3096e-08, no:     107, try:    986400000
emin+1: -1.210173e-02, e+1: -1.210095e-02, T: 4.7276e-08, no:       1, try:   1000100000
emin+1: -1.210173e-02, e+1: -1.210118e-02, T: 3.9811e-08, no:       2, try:   1013800000
emin+1: -1.210183e-02, e+1: -1.210137e-02, T: 2.9829e-08, no:     361, try:   1027500000
emin+1: -1.210183e-02, e+1: -1.210147e-02, T: 2.5119e-08, no:     166, try:   1041200000
emin+1: -1.210194e-02, e+1: -1.210166e-02, T: 1.8821e-08, no:     243, try:   1054900000
emin+1: -1.210195e-02, e+1: -1.210168e-02, T: 1.5849e-08, no:      86, try:   1068600000
emin+1: -1.210198e-02, e+1: -1.210181e-02, T: 1.1875e-08, no:      42, try:   1082300000
emin+1: -1.210200e-02, e+1: -1.210187e-02, T: 1.0000e-08, no:      92, try:   1096000000
emin+1: -1.210201e-02, e+1: -1.210188e-02, T: 7.4928e-09, no:      49, try:   1109700000
emin+1: -1.210202e-02, e+1: -1.210195e-02, T: 6.3096e-09, no:     149, try:   1123400000
emin+1: -1.210203e-02, e+1: -1.210197e-02, T: 4.7276e-09, no:      27, try:   1137100000
emin+1: -1.210204e-02, e+1: -1.210199e-02, T: 3.9811e-09, no:     387, try:   1150800000
