3 13
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1: -4.287497e-01, e+1:  9.769410e-02, T: 7.4928e-01, no:       0, try:    702000000
emin+1: -4.389258e-01, e+1:  9.501296e-02, T: 6.3096e-01, no:       0, try:   1404000000
emin+1: -4.389258e-01, e+1:  9.133830e-02, T: 4.7276e-01, no:       0, try:   2106000000
emin+1: -4.672493e-01, e+1:  8.725668e-02, T: 3.9811e-01, no:       0, try:   2808000000
emin+1: -4.672493e-01, e+1:  8.132472e-02, T: 2.9829e-01, no:       2, try:   3510000000
emin+1: -4.771897e-01, e+1:  7.445102e-02, T: 2.5119e-01, no:       0, try:   4212000000
emin+1: -4.771897e-01, e+1:  6.502244e-02, T: 1.8821e-01, no:       1, try:   4914000000
emin+1: -4.771897e-01, e+1:  5.423572e-02, T: 1.5849e-01, no:       0, try:   5616000000
emin+1: -4.928181e-01, e+1:  3.892133e-02, T: 1.1875e-01, no:       1, try:   6318000000
emin+1: -4.928181e-01, e+1:  2.211416e-02, T: 1.0000e-01, no:       1, try:   7020000000
emin+1: -4.928181e-01, e+1: -1.841095e-03, T: 7.4928e-02, no:       0, try:   7722000000
emin+1: -5.052365e-01, e+1: -2.857221e-02, T: 6.3096e-02, no:       2, try:   8424000000
emin+1: -5.244488e-01, e+1: -6.460738e-02, T: 4.7276e-02, no:       1, try:   9126000000
emin+1: -5.826267e-01, e+1: -1.045244e-01, T: 3.9811e-02, no:       1, try:   9828000000
emin+1: -5.838505e-01, e+1: -1.569770e-01, T: 2.9829e-02, no:       1, try:  10530000000
emin+1: -6.351499e-01, e+1: -2.145548e-01, T: 2.5119e-02, no:       1, try:  11232000000
emin+1: -7.297833e-01, e+1: -2.874583e-01, T: 1.8821e-02, no:       2, try:  11934000000
emin+1: -7.646088e-01, e+1: -3.655923e-01, T: 1.5849e-02, no:       0, try:  12636000000
emin+1: -8.188570e-01, e+1: -4.619480e-01, T: 1.1875e-02, no:       4, try:  13338000000
emin+1: -8.755540e-01, e+1: -5.600827e-01, T: 1.0000e-02, no:       3, try:  14040000000
emin+1: -9.312527e-01, e+1: -6.712804e-01, T: 7.4928e-03, no:       4, try:  14742000000
emin+1: -9.505990e-01, e+1: -7.661791e-01, T: 6.3096e-03, no:       0, try:  15444000000
emin+1: -9.721782e-01, e+1: -8.345934e-01, T: 4.7276e-03, no:       1, try:  16146000000
emin+1: -9.792173e-01, e+1: -8.781103e-01, T: 3.9811e-03, no:       7, try:  16848000000
emin+1: -9.829981e-01, e+1: -9.100663e-01, T: 2.9829e-03, no:       0, try:  17550000000
emin+1: -9.881442e-01, e+1: -9.321996e-01, T: 2.5119e-03, no:       0, try:  18252000000
emin+1: -9.916295e-01, e+1: -9.492688e-01, T: 1.8821e-03, no:       1, try:  18954000000
emin+1: -9.942438e-01, e+1: -9.614775e-01, T: 1.5849e-03, no:       2, try:  19656000000
emin+1: -9.965300e-01, e+1: -9.711151e-01, T: 1.1875e-03, no:       3, try:  20358000000
emin+1: -9.982182e-01, e+1: -9.781837e-01, T: 1.0000e-03, no:      20, try:  21060000000
emin+1: -9.993312e-01, e+1: -9.838721e-01, T: 7.4928e-04, no:       2, try:  21762000000
emin+1: -1.000844e+00, e+1: -9.880527e-01, T: 6.3096e-04, no:       0, try:  22464000000
emin+1: -1.001769e+00, e+1: -9.913946e-01, T: 4.7276e-04, no:       5, try:  23166000000
emin+1: -1.002457e+00, e+1: -9.938714e-01, T: 3.9811e-04, no:       1, try:  23868000000
emin+1: -1.003768e+00, e+1: -9.960136e-01, T: 2.9829e-04, no:       3, try:  24570000000
emin+1: -1.004906e+00, e+1: -9.979926e-01, T: 2.5119e-04, no:       6, try:  25272000000
emin+1: -1.005681e+00, e+1: -1.000146e+00, T: 1.8821e-04, no:       0, try:  25974000000
emin+1: -1.006289e+00, e+1: -1.001948e+00, T: 1.5849e-04, no:       5, try:  26676000000
emin+1: -1.006859e+00, e+1: -1.003444e+00, T: 1.1875e-04, no:       3, try:  27378000000
emin+1: -1.007075e+00, e+1: -1.004517e+00, T: 1.0000e-04, no:       9, try:  28080000000
emin+1: -1.007450e+00, e+1: -1.005365e+00, T: 7.4928e-05, no:       6, try:  28782000000
emin+1: -1.007555e+00, e+1: -1.005979e+00, T: 6.3096e-05, no:       3, try:  29484000000
emin+1: -1.007704e+00, e+1: -1.006477e+00, T: 4.7276e-05, no:       1, try:  30186000000
emin+1: -1.007883e+00, e+1: -1.006854e+00, T: 3.9811e-05, no:       5, try:  30888000000
emin+1: -1.007951e+00, e+1: -1.007164e+00, T: 2.9829e-05, no:       1, try:  31590000000
emin+1: -1.008018e+00, e+1: -1.007401e+00, T: 2.5119e-05, no:       0, try:  32292000000
emin+1: -1.008106e+00, e+1: -1.007593e+00, T: 1.8821e-05, no:      19, try:  32994000000
emin+1: -1.008118e+00, e+1: -1.007743e+00, T: 1.5849e-05, no:      33, try:  33696000000
emin+1: -1.008173e+00, e+1: -1.007864e+00, T: 1.1875e-05, no:       8, try:  34398000000
emin+1: -1.008204e+00, e+1: -1.007957e+00, T: 1.0000e-05, no:      19, try:  35100000000
emin+1: -1.008218e+00, e+1: -1.008034e+00, T: 7.4928e-06, no:       1, try:  35802000000
emin+1: -1.008243e+00, e+1: -1.008093e+00, T: 6.3096e-06, no:       5, try:  36504000000
emin+1: -1.008263e+00, e+1: -1.008142e+00, T: 4.7276e-06, no:      29, try:  37206000000
emin+1: -1.008272e+00, e+1: -1.008179e+00, T: 3.9811e-06, no:       1, try:  37908000000
emin+1: -1.008286e+00, e+1: -1.008209e+00, T: 2.9829e-06, no:      93, try:  38610000000
emin+1: -1.008291e+00, e+1: -1.008233e+00, T: 2.5119e-06, no:      14, try:  39312000000
emin+1: -1.008301e+00, e+1: -1.008252e+00, T: 1.8821e-06, no:       1, try:  40014000000
emin+1: -1.008307e+00, e+1: -1.008267e+00, T: 1.5849e-06, no:      62, try:  40716000000
emin+1: -1.008310e+00, e+1: -1.008279e+00, T: 1.1875e-06, no:      24, try:  41418000000
emin+1: -1.008312e+00, e+1: -1.008289e+00, T: 1.0000e-06, no:       5, try:  42120000000
emin+1: -1.008316e+00, e+1: -1.008296e+00, T: 7.4928e-07, no:      60, try:  42822000000
emin+1: -1.008317e+00, e+1: -1.008302e+00, T: 6.3096e-07, no:     335, try:  43524000000
emin+1: -1.008319e+00, e+1: -1.008307e+00, T: 4.7276e-07, no:      34, try:  44226000000
emin+1: -1.008320e+00, e+1: -1.008311e+00, T: 3.9811e-07, no:      25, try:  44928000000
emin+1: -1.008321e+00, e+1: -1.008314e+00, T: 2.9829e-07, no:     204, try:  45630000000
emin+1: -1.008322e+00, e+1: -1.008316e+00, T: 2.5119e-07, no:      98, try:  46332000000
emin+1: -1.008323e+00, e+1: -1.008318e+00, T: 1.8821e-07, no:      31, try:  47034000000
emin+1: -1.008323e+00, e+1: -1.008319e+00, T: 1.5849e-07, no:      40, try:  47736000000
emin+1: -1.008324e+00, e+1: -1.008321e+00, T: 1.1875e-07, no:      43, try:  48438000000
emin+1: -1.008324e+00, e+1: -1.008322e+00, T: 1.0000e-07, no:     634, try:  49140000000
emin+1: -1.008324e+00, e+1: -1.008322e+00, T: 7.4928e-08, no:     719, try:  49842000000
emin+1: -1.008324e+00, e+1: -1.008323e+00, T: 6.3096e-08, no:      22, try:  50544000000
emin+1: -1.008325e+00, e+1: -1.008323e+00, T: 4.7276e-08, no:      68, try:  51246000000
emin+1: -1.008325e+00, e+1: -1.008324e+00, T: 3.9811e-08, no:     308, try:  51948000000
emin+1: -1.008325e+00, e+1: -1.008324e+00, T: 2.9829e-08, no:     182, try:  52650000000
emin+1: -1.008325e+00, e+1: -1.008324e+00, T: 2.5119e-08, no:      56, try:  53352000000
emin+1: -1.008325e+00, e+1: -1.008325e+00, T: 1.8821e-08, no:      86, try:  54054000000
emin+1: -1.008325e+00, e+1: -1.008325e+00, T: 1.5849e-08, no:     296, try:  54756000000
emin+1: -1.008325e+00, e+1: -1.008325e+00, T: 1.1875e-08, no:      28, try:  55458000000
emin+1: -1.008325e+00, e+1: -1.008325e+00, T: 1.0000e-08, no:      27, try:  56160000000
emin+1: -1.008325e+00, e+1: -1.008325e+00, T: 7.4928e-09, no:     837, try:  56862000000
emin+1: -1.008325e+00, e+1: -1.008325e+00, T: 6.3096e-09, no:    2187, try:  57564000000
emin+1: -1.008325e+00, e+1: -1.008325e+00, T: 4.7276e-09, no:     498, try:  58266000000
emin+1: -1.008325e+00, e+1: -1.008325e+00, T: 3.9811e-09, no:      12, try:  58968000000
emin+1: -1.008325e+00, e+1: -1.008325e+00, T: 2.9829e-09, no:    1173, try:  59670000000
emin+1: -1.008325e+00, e+1: -1.008325e+00, T: 2.5119e-09, no:      79, try:  60372000000
emin+1: -1.008325e+00, e+1: -1.008325e+00, T: 1.8821e-09, no:    2633, try:  61074000000
emin+1: -1.008325e+00, e+1: -1.008325e+00, T: 1.5849e-09, no:     875, try:  61776000000
emin+1: -1.008325e+00, e+1: -1.008325e+00, T: 1.1875e-09, no:    4808, try:  62478000000
emin+1: -1.008325e+00, e+1: -1.008325e+00, T: 1.0000e-09, no:     170, try:  63180000000
emin+1: -1.008325e+00, e+1: -1.008325e+00, T: 7.4928e-10, no:    2308, try:  63882000000
emin+1: -1.008325e+00, e+1: -1.008325e+00, T: 6.3096e-10, no:    1126, try:  64584000000
emin+1: -1.008325e+00, e+1: -1.008325e+00, T: 4.7276e-10, no:     289, try:  65286000000
emin+1: -1.008325e+00, e+1: -1.008325e+00, T: 3.9811e-10, no:    2961, try:  65988000000
emin+1: -1.008325e+00, e+1: -1.008325e+00, T: 2.9829e-10, no:    2988, try:  66690000000
emin+1: -1.008325e+00, e+1: -1.008325e+00, T: 2.5119e-10, no:    1182, try:  67392000000
emin+1: -1.008325e+00, e+1: -1.008325e+00, T: 1.8821e-10, no:    2111, try:  68094000000
emin+1: -1.008325e+00, e+1: -1.008325e+00, T: 1.5849e-10, no:     177, try:  68796000000
emin+1: -1.008325e+00, e+1: -1.008325e+00, T: 1.1875e-10, no:    4491, try:  69498000000
emin+1: -1.008325e+00, e+1: -1.008325e+00, T: 1.0000e-10, no:    1976, try:  70200000000
emin+1: -1.008325e+00, e+1: -1.008325e+00, T: 7.4928e-11, no:   10428, try:  70902000000
emin+1: -1.008325e+00, e+1: -1.008325e+00, T: 6.3096e-11, no:    8519, try:  71604000000
emin+1: -1.008325e+00, e+1: -1.008325e+00, T: 4.7276e-11, no:    6849, try:  72306000000
emin+1: -1.008325e+00, e+1: -1.008325e+00, T: 3.9811e-11, no:    2832, try:  73008000000
emin+1: -1.008325e+00, e+1: -1.008325e+00, T: 2.9829e-11, no:   25066, try:  73710000000
emin+1: -1.008325e+00, e+1: -1.008325e+00, T: 2.5119e-11, no:   11938, try:  74412000000
