3 16
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1: -5.432978e-01, e+1: -3.719225e+00, T: 7.4928e-01, no:       1, try:  10800000000
emin+1: -5.537740e-01, e+1: -3.734880e+00, T: 6.3096e-01, no:       3, try:  21600000000
emin+1: -5.537740e-01, e+1: -3.756396e+00, T: 4.7276e-01, no:       1, try:  32400000000
emin+1: -5.664088e-01, e+1: -3.781562e+00, T: 3.9811e-01, no:       0, try:  43200000000
emin+1: -5.899175e-01, e+1: -3.816345e+00, T: 2.9829e-01, no:       1, try:  54000000000
emin+1: -5.899175e-01, e+1: -3.856416e+00, T: 2.5119e-01, no:       0, try:  64800000000
emin+1: -5.899175e-01, e+1: -3.912355e+00, T: 1.8821e-01, no:       0, try:  75600000000
emin+1: -5.899175e-01, e+1: -3.976911e+00, T: 1.5849e-01, no:       7, try:  86400000000
emin+1: -5.999050e-01, e+1: -4.066638e+00, T: 1.1875e-01, no:       0, try:  97200000000
emin+1: -6.087336e-01, e+1: -4.170041e+00, T: 1.0000e-01, no:       0, try: 108000000000
emin+1: -6.275336e-01, e+1: -4.313317e+00, T: 7.4928e-02, no:       3, try: 118800000000
emin+1: -6.490338e-01, e+1: -4.476797e+00, T: 6.3096e-02, no:       0, try: 129600000000
emin+1: -6.572030e-01, e+1: -4.701848e+00, T: 4.7276e-02, no:       1, try: 140400000000
emin+1: -7.452411e-01, e+1: -4.959724e+00, T: 3.9811e-02, no:       1, try: 151200000000
emin+1: -7.452411e-01, e+1: -5.317669e+00, T: 2.9829e-02, no:       0, try: 162000000000
emin+1: -7.713750e-01, e+1: -5.738820e+00, T: 2.5119e-02, no:       0, try: 172800000000
emin+1: -8.831621e-01, e+1: -6.349563e+00, T: 1.8821e-02, no:       0, try: 183600000000
emin+1: -9.119913e-01, e+1: -7.108602e+00, T: 1.5849e-02, no:       0, try: 194400000000
emin+1: -9.986414e-01, e+1: -8.323085e+00, T: 1.1875e-02, no:       4, try: 205200000000
emin+1: -1.064006e+00, e+1: -1.002084e+01, T: 1.0000e-02, no:       1, try: 216000000000
emin+1: -1.115360e+00, e+1: -1.316998e+01, T: 7.4928e-03, no:       1, try: 226800000000
emin+1: -1.156299e+00, e+1: -1.890736e+01, T: 6.3096e-03, no:       2, try: 237600000000
emin+1: -1.181123e+00, e+1: -3.428639e+01, T: 4.7276e-03, no:       2, try: 248400000000
emin+1: -1.195659e+00, e+1: -1.012041e+02, T: 3.9811e-03, no:       0, try: 259200000000
emin+1: -1.210359e+00, e+1:  1.044310e+02, T: 2.9829e-03, no:       5, try: 270000000000
emin+1: -1.216082e+00, e+1:  3.644941e+01, T: 2.5119e-03, no:       0, try: 280800000000
emin+1: -1.222584e+00, e+1:  2.130235e+01, T: 1.8821e-03, no:       1, try: 291600000000
emin+1: -1.226630e+00, e+1:  1.525563e+01, T: 1.5849e-03, no:       0, try: 302400000000
emin+1: -1.229198e+00, e+1:  1.157180e+01, T: 1.1875e-03, no:       0, try: 313200000000
emin+1: -1.230265e+00, e+1:  9.388456e+00, T: 1.0000e-03, no:       0, try: 324000000000
emin+1: -1.232936e+00, e+1:  7.748928e+00, T: 7.4928e-04, no:       4, try: 334800000000
emin+1: -1.234314e+00, e+1:  6.645734e+00, T: 6.3096e-04, no:       5, try: 345600000000
emin+1: -1.235947e+00, e+1:  5.755767e+00, T: 4.7276e-04, no:       1, try: 356400000000
