2 3
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1: -6.065980e-02, e+1: -6.065924e-02, T: 2.9829e-07, no:     785, try:       390000
emin+1: -6.065986e-02, e+1: -6.065918e-02, T: 2.5119e-07, no:      30, try:       396000
emin+1: -6.065986e-02, e+1: -6.065923e-02, T: 1.8821e-07, no:      14, try:       402000
emin+1: -6.065986e-02, e+1: -6.065917e-02, T: 1.5849e-07, no:     132, try:       408000
emin+1: -6.065991e-02, e+1: -6.065950e-02, T: 1.1875e-07, no:      62, try:       414000
emin+1: -6.066005e-02, e+1: -6.065988e-02, T: 1.0000e-07, no:      12, try:       420000
emin+1: -6.066011e-02, e+1: -6.065983e-02, T: 7.4928e-08, no:     117, try:       426000
emin+1: -6.066011e-02, e+1: -6.066002e-02, T: 6.3096e-08, no:      26, try:       432000
emin+1: -6.066011e-02, e+1: -6.065999e-02, T: 4.7276e-08, no:     373, try:       438000
emin+1: -6.066012e-02, e+1: -6.066004e-02, T: 3.9811e-08, no:     302, try:       444000
emin+1: -6.066015e-02, e+1: -6.066008e-02, T: 2.9829e-08, no:     503, try:       450000
emin+1: -6.066015e-02, e+1: -6.066008e-02, T: 2.5119e-08, no:      77, try:       456000
emin+1: -6.066015e-02, e+1: -6.066014e-02, T: 1.8821e-08, no:     153, try:       462000
emin+1: -6.066015e-02, e+1: -6.066012e-02, T: 1.5849e-08, no:     884, try:       468000
emin+1: -6.066015e-02, e+1: -6.066012e-02, T: 1.1875e-08, no:     159, try:       474000
emin+1: -6.066015e-02, e+1: -6.066014e-02, T: 1.0000e-08, no:      61, try:       480000
emin+1: -6.066015e-02, e+1: -6.066013e-02, T: 7.4928e-09, no:      19, try:       486000
emin+1: -6.066015e-02, e+1: -6.066015e-02, T: 6.3096e-09, no:     425, try:       492000
emin+1: -6.066015e-02, e+1: -6.066015e-02, T: 4.7276e-09, no:     218, try:       498000
emin+1: -6.066015e-02, e+1: -6.066015e-02, T: 3.9811e-09, no:    1282, try:       504000
emin+1: -6.066015e-02, e+1: -6.066015e-02, T: 2.9829e-09, no:    1030, try:       510000
emin+1: -6.066015e-02, e+1: -6.066015e-02, T: 2.5119e-09, no:     434, try:       516000
emin+1: -6.066016e-02, e+1: -6.066014e-02, T: 1.8821e-09, no:    1298, try:       522000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 1.5849e-09, no:     540, try:       528000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 1.1875e-09, no:     381, try:       534000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 1.0000e-09, no:     481, try:       540000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 7.4928e-10, no:    2202, try:       546000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 6.3096e-10, no:    1141, try:       552000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 4.7276e-10, no:     474, try:       558000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 3.9811e-10, no:     305, try:       564000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 2.9829e-10, no:      74, try:       570000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 2.5119e-10, no:     437, try:       576000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 1.8821e-10, no:     511, try:       582000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 1.5849e-10, no:     312, try:       588000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 1.1875e-10, no:     193, try:       594000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 1.0000e-10, no:     242, try:       600000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 7.4928e-11, no:     260, try:       606000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 6.3096e-11, no:     293, try:       612000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 4.7276e-11, no:       7, try:       618000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 3.9811e-11, no:      14, try:       624000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 2.9829e-11, no:      56, try:       630000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 2.5119e-11, no:      27, try:       636000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 1.8821e-11, no:      47, try:       642000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 1.5849e-11, no:      45, try:       648000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 1.1875e-11, no:     153, try:       654000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 1.0000e-11, no:     140, try:       660000
emin+1: -6.066016e-02, e+1: -6.066016e-02, T: 7.4928e-12, no:      58, try:       666000
